zone_id,n,med_excess,wx,wy,dens,logdens,resid
Zone_DH007,130,-0.11238469927523084,220203.01846153848,2631712.6761538466,0.544,-0.6088060321261943,-0.06396942059716273
Zone_DH008,156,0.3612465842618794,220241.60820512823,2633814.342820513,1.156,0.14496577025018564,0.348077608287849
Zone_DH009,190,0.06843801913164366,220185.16421052633,2635792.5142105264,1.7,0.5306282510621704,0.023759856487048626
Zone_DH010,172,0.229927185065569,220223.10790697674,2637840.341627907,2.663,0.9794533068317951,0.1485793613357253
Zone_DH011,173,0.2692243828938855,220227.66497109827,2639819.119017341,3.425,1.2311014717141886,0.16731653739088426
Zone_DH012,148,0.22761015862637302,220283.10162162164,2641761.397567568,3.05,1.1151415906193203,0.13517640438581935
Zone_DH013,120,0.0142545378125365,220356.48,2643869.6633333336,1.894,0.6386909947638865,-0.03925250846175939
Zone_DH014,97,0.0389183286927196,220312.51092783507,2645989.448556701,1.637,0.49286529838899784,-0.0026745456902185424
Zone_DH015,109,0.0967308988194961,220327.9937614679,2647916.5364220184,2.75,1.0116009116784799,0.01275656892811694
Zone_DH016,123,0.0951818097843404,220346.4393495935,2649767.20398374,1.919,0.6518042170255629,0.04060339414264888
Zone_DH023,332,0.1274777714020286,221742.80530120482,2627772.4444578313,0.831,-0.18512548412668892,0.1412777319202995
Zone_DH024,254,-0.08320356436965876,221663.0548031496,2629817.648897638,0.769,-0.26266430947649305,-0.06306856883055997
Zone_DH025,247,-0.0551948532350961,221485.16421052633,2631763.5668421052,0.781,-0.24718012914245105,-0.03632493779287059
Zone_DH026,355,0.0697536963913567,221628.94478873242,2633839.534225352,1.863,0.6221880916194514,0.017594961352028343
Zone_DH027,231,-0.0819221699986114,221274.25056277058,2635771.4274025974,2.856,1.049422044477338,-0.16898654155269616
Zone_DH028,388,0.2040953514120049,221639.3150515464,2637840.479484536,3.681,1.303184454396884,0.09629822118434464
Zone_DH029,400,0.2636429587051952,221661.48,2639818.83,6.456,1.8650099309676478,0.1099438683483685
Zone_DH030,365,0.1063168873846329,221656.4115068493,2641768.5560273975,6.088,1.8063196205593848,-0.042587119088187755
Zone_DH031,391,0.2012491193029251,221652.40071611255,2643832.2571099745,4.106,1.4124493185967417,0.08452489044913314
Zone_DH032,381,0.0905647845899536,221691.79496062995,2645843.108215223,3.494,1.251047211711865,-0.01297265693583452
Zone_DH033,400,0.19550217513505236,221661.48,2647818.83,6.156,1.8174272159766327,0.04569066193062976
Zone_DH034,400,0.13427473576089433,221661.48,2649818.83,7.331,1.9921119322414496,-0.029808773313321157
Zone_DH035,74,0.13532098141005286,221772.29081081084,2651013.4245945946,2.112,0.7476353658440151,0.07291302126453042
Zone_DH038,318,-0.01182273985622335,223736.6372327044,2621912.2262264155,1.106,0.10074990310014315,-0.021379215052635236
Zone_DH039,336,-0.04042913117798775,223657.31333333332,2623766.1514285714,0.863,-0.14734058789870913,-0.029716251741777694
Zone_DH040,275,-0.3259344513030476,223786.75272727272,2625724.4663636363,0.644,-0.4400565528777834,-0.29130625098169144
Zone_DH041,292,-0.057317341498006255,223487.84986301372,2627776.021780822,0.856,-0.15548490284039498,-0.045939059663146604
Zone_DH042,341,-0.1698259937630463,223739.0459824047,2629865.0176832844,0.956,-0.044997365930735805,-0.16747470469639053
