zone_id,n,mixture_ratio,median_excess,mean_score,completeness,mean_road_len,dec,residual,wx,wy
Zone_DH007,130,0.1692307692307692,-0.1123846992752308,0.2596112574723107,0.544,1194.712969119862,0,-0.19261624763953897,220203.01846153848,2631712.6761538466
Zone_DH008,156,0.7307692307692307,0.3612465842618794,0.6136849029662945,1.156,1753.0639918800769,1,0.3495608542855927,220241.60820512823,2633814.342820513
Zone_DH009,190,0.3157894736842105,0.0684380191316436,0.4047420053141713,1.7,2198.787390326465,2,-0.08262900023349845,220185.16421052633,2635792.5142105264
Zone_DH010,172,0.6802325581395349,0.229927185065569,0.5255333627951424,2.663,2941.18318633369,3,0.25134841541849806,220223.10790697674,2637840.341627907
Zone_DH011,173,0.7341040462427746,0.2692243828938855,0.5501612562936977,3.425,3398.3438279577294,4,0.281113112630631,220227.66497109827,2639819.119017341
Zone_DH012,148,0.6621621621621622,0.227610158626373,0.4967395836427678,3.05,3338.491876948051,4,0.2210348067444609,220283.10162162164,2641761.397567568
Zone_DH013,120,0.2583333333333333,0.0142545378125365,0.3294279742715337,1.894,1787.1026687374106,3,-0.14622256503696718,220356.48,2643869.6633333336
Zone_DH014,97,0.3298969072164948,0.0389183286927196,0.3643675474093368,1.637,2854.8178627298043,2,-0.06652848556454788,220312.51092783507,2645989.448556701
Zone_DH015,109,0.4862385321100917,0.0967308988194961,0.4274392359787616,2.75,2683.2158487199863,3,0.05460203924794427,220327.9937614679,2647916.5364220184
Zone_DH016,123,0.3739837398373983,0.0951818097843404,0.3876439276480762,1.919,1647.7651505877745,3,-0.031363063745865005,220346.4393495935,2649767.20398374
Zone_DH023,332,0.4578313253012048,0.1274777714020286,0.4151754251728236,0.831,1746.7257743805103,0,0.08690471658608345,221742.80530120482,2627772.4444578313
Zone_DH024,254,0.2165354330708661,-0.0832035643696587,0.3017919018785182,0.769,1404.313742535093,0,-0.15242973071610744,221663.0548031496,2629817.648897638
Zone_DH025,247,0.2550607287449393,-0.0551948532350961,0.3088689523630827,0.781,1479.2796196642037,0,-0.1142840695442564,221485.16421052633,2631763.5668421052
Zone_DH026,355,0.3859154929577464,0.0697536963913567,0.3993205228058099,1.863,1948.9928756204238,3,-0.017659682948480193,221628.94478873242,2633839.534225352
Zone_DH027,231,0.1645021645021645,-0.0819221699986114,0.2591411685816169,2.856,1763.1331787299991,4,-0.27048776646294526,221274.25056277058,2635771.4274025974
Zone_DH028,388,0.6572164948453608,0.2040953514120049,0.5158314498801463,3.681,2973.804186063128,5,0.19612669185247794,221639.3150515464,2637840.479484536
Zone_DH029,400,0.7975,0.2636429587051952,0.5453698194692843,6.456,3742.234516258009,6,0.24861971836824404,221661.48,2639818.83
Zone_DH030,365,0.5205479452054794,0.1063168873846329,0.4084554970267142,6.088,3107.812959162773,6,-0.016690211691463785,221656.4115068493,2641768.5560273975
Zone_DH031,391,0.6854219948849105,0.2012491193029251,0.5277194179998087,4.106,2803.094220619908,5,0.2108868032716597,221652.40071611255,2643832.2571099745
Zone_DH032,381,0.4645669291338583,0.0905647845899536,0.4074014642341492,3.494,2538.251355378274,4,0.009393097133937267,221691.79496062995,2645843.108215223
Zone_DH033,400,0.7175,0.1955021751350524,0.5196506155464389,6.156,3791.8222654823794,6,0.17811058092379795,221661.48,2647818.83
Zone_DH034,400,0.655,0.1342747357608943,0.4670600836648572,7.331,4148.557534548412,7,0.07843803591454535,221661.48,2649818.83
Zone_DH035,74,0.4324324324324324,0.1353209814100529,0.4576464861446591,2.112,2102.432804719309,3,0.02097984060509611,221772.29081081084,2651013.4245945946
Zone_DH038,318,0.2987421383647798,-0.0118227398562233,0.3285939358026696,1.106,1740.7721815208463,1,-0.08088442769293258,223736.6372327044,2621912.2262264155
Zone_DH039,336,0.1904761904761904,-0.0404291311779878,0.2944887404464272,0.863,1509.6639562148662,0,-0.18146277691152335,223657.31333333332,2623766.1514285714
Zone_DH040,275,0.1236363636363636,-0.3259344513030476,0.1483749655912762,0.644,1167.141003721747,0,-0.24137427408579587,223786.75272727272,2625724.4663636363
Zone_DH041,292,0.2157534246575342,-0.0573173414980063,0.2799757606139332,0.856,1725.142037278105,0,-0.15596408927054997,223487.84986301372,2627776.021780822
Zone_DH042,341,0.1407624633431085,-0.1698259937630463,0.2410738362139526,0.956,1540.0440990093634,1,-0.23411867143682696,223739.0459824047,2629865.0176832844
Zone_DH043,214,0.308411214953271,-0.0195599542600963,0.3379549371188391,0.994,1320.4970210038566,1,-0.06767209575036792,223774.0968224299,2631547.334672897
Zone_DH044,254,0.3818897637795275,0.0386918974921489,0.3421365934190715,1.988,1914.7253008793748,3,-0.025639938191513167,223548.48787401576,2634012.530787402
Zone_DH045,304,0.3190789473684211,0.0322028433399627,0.3510737490326115,1.694,1804.5017240996335,2,-0.07914970929817683,223714.76947368422,2635744.1589473686
Zone_DH046,322,0.2981366459627329,0.0157648067780079,0.3519926713647222,1.156,1525.193905108439,1,-0.08307173052090511,223647.8154037267,2637831.5629192544
Zone_DH047,357,0.6162464985994398,0.1737947049425439,0.4654534644981337,4.731,3297.1508915108716,5,0.1219386766621185,223661.05983193277,2639868.549887955
Zone_DH048,398,0.592964824120603,0.1502058638516713,0.4463083154158689,5.544,3127.5092031082663,6,0.0729367646577308,223663.49005025128,2641818.076231156
Zone_DH049,366,0.6557377049180327,0.2542993596767507,0.528381171609391,4.213,2658.686122711631,5,0.17781743899330105,223708.74775956286,2643808.4474863387
Zone_DH050,366,0.5109289617486339,0.1477933214835117,0.4607604536363354,3.419,2276.773532751496,4,0.05812784538760141,223685.52371584703,2645857.354590164
Zone_DH051,391,0.710997442455243,0.2154749888431712,0.5283249349076892,5.519,3569.398664930212,6,0.19176028820533353,223677.20890025576,2647832.2571099745
Zone_DH052,400,0.965,0.3249875223459087,0.6343576889891948,8.488,5620.97578573518,7,0.351834942658626,223661.48,2649818.83
Zone_DH053,128,0.734375,0.2149290141716844,0.5572360792110159,3.469,3695.4309901693546,4,0.27999207321304187,223630.23,2651142.2675
Zone_DH055,242,0.4297520661157025,0.1243939087817208,0.4481677976807677,0.625,1686.1765926477376,0,0.06534251635539479,225738.33950413225,2620156.8465289255
Zone_DH056,366,0.2377049180327868,0.0009304715712182,0.3362509513370142,1.156,2049.2918204272714,1,-0.14350345845085125,225648.09202185794,2621828.1196174864
Zone_DH057,268,0.1828358208955224,-0.0933822583460074,0.2715220992543681,0.906,1398.8435370274049,1,-0.19046350345848742,225646.92776119403,2623612.486716418
Zone_DH058,191,0.2774869109947644,-0.1150298787517621,0.2913849499777328,1.238,1381.190553535605,2,-0.10631563458739163,225770.6423036649,2626109.6676963354
Zone_DH059,263,0.1634980988593156,-0.1638413772430182,0.2215562165091432,1.919,1404.9504254138187,3,-0.2418487047239477,225748.74235741445,2627738.411749049
Zone_DH060,352,0.2727272727272727,-0.0251785747653628,0.3242009170800367,1.606,1518.831617274059,2,-0.12271739758969608,225684.77545454548,2629849.511818182
Zone_DH061,338,0.5769230769230769,0.2094910538324174,0.5044908578931384,1.613,1859.3487266530037,2,0.1812569531464785,225687.81136094677,2631762.0252662725
Zone_DH062,302,0.5463576158940397,0.219438991648864,0.5248556685072802,1.725,2134.212905995591,2,0.14714823676336797,225640.28794701988,2633717.5054966887
Zone_DH063,211,0.1943127962085308,-0.0512009186631496,0.2820503654074179,0.787,1511.8813522133144,0,-0.175221819331776,225726.17194312796,2635980.6783412322
Zone_DH064,222,0.1756756756756756,-0.0656461563581826,0.2516919602815938,1.113,1534.6225103913205,1,-0.20417234384166638,225693.91243243244,2637892.2534234235
Zone_DH065,359,0.3788300835654596,0.049967828563874,0.3932049411439809,2.744,2083.096825697791,3,-0.05261659204557678,225651.03431754877,2639832.6183008356
Zone_DH066,390,0.6512820512820513,0.1522952956259148,0.4747941486765493,4.975,3227.9585553595743,5,0.14925499446621282,225669.68512820514,2641830.3684615386
Zone_DH067,398,0.7211055276381909,0.2205008546158887,0.5275054432642458,5.081,3251.37509409218,6,0.21572503271939014,225657.4598994975,2643821.0913065327
Zone_DH068,396,0.5934343434343434,0.1718706790873259,0.4730519597216291,3.619,2916.4414254341627,5,0.13430598536960836,225661.47999999998,2645819.335050505
Zone_DH069,396,0.6212121212121212,0.1814971607765854,0.50631105233066,3.606,2805.6077873974837,5,0.1624950338581268,225652.3890909091,2647815.79969697
Zone_DH070,400,0.69,0.1880615661990812,0.5131824189589047,4.487,3360.865773635395,5,0.20341141294119575,225661.48,2649818.83
Zone_DH071,103,0.2135922330097087,0.0141967400323176,0.3230536056175163,1.981,2207.7084574130918,3,-0.19371601550170242,225560.9945631068,2651086.3057281557
Zone_DH073,334,0.1766467065868263,-0.085337742042877,0.2640405338609436,0.588,1556.6980340587659,0,-0.18659230345829642,227719.56383233535,2619935.8958682637
