zone_id,n,mixture_ratio,median_excess,mean_score
Zone_DH007,130,0.16923076923076924,-0.11238469927523086,0.2596112574723107
Zone_DH008,156,0.7307692307692307,0.3612465842618794,0.6136849029662945
Zone_DH009,190,0.3157894736842105,0.06843801913164368,0.40474200531417137
Zone_DH010,172,0.6802325581395349,0.22992718506556906,0.5255333627951424
Zone_DH011,173,0.7341040462427746,0.26922438289388556,0.5501612562936977
Zone_DH012,148,0.6621621621621622,0.22761015862637304,0.4967395836427678
Zone_DH013,120,0.25833333333333336,0.014254537812536577,0.32942797427153375
Zone_DH014,97,0.32989690721649484,0.03891832869271966,0.36436754740933686
Zone_DH015,109,0.48623853211009177,0.09673089881949615,0.4274392359787616
Zone_DH016,123,0.37398373983739835,0.09518180978434043,0.38764392764807626
Zone_DH023,332,0.4578313253012048,0.1274777714020286,0.41517542517282363
Zone_DH024,254,0.21653543307086615,-0.08320356436965878,0.30179190187851823
Zone_DH025,247,0.2550607287449393,-0.0551948532350961,0.3088689523630827
Zone_DH026,355,0.38591549295774646,0.0697536963913567,0.39932052280580993
Zone_DH027,231,0.1645021645021645,-0.08192216999861146,0.25914116858161695
Zone_DH028,388,0.6572164948453608,0.20409535141200494,0.5158314498801463
Zone_DH029,400,0.7975,0.2636429587051952,0.5453698194692843
Zone_DH030,365,0.5205479452054794,0.10631688738463296,0.40845549702671424
Zone_DH031,391,0.6854219948849105,0.20124911930292516,0.5277194179998087
Zone_DH032,381,0.4645669291338583,0.09056478458995365,0.40740146423414925
Zone_DH033,400,0.7175,0.1955021751350524,0.5196506155464389
Zone_DH034,400,0.655,0.13427473576089438,0.4670600836648572
Zone_DH035,74,0.43243243243243246,0.13532098141005292,0.45764648614465914
Zone_DH038,318,0.29874213836477986,-0.011822739856223397,0.3285939358026696
Zone_DH039,336,0.19047619047619047,-0.0404291311779878,0.29448874044642726
Zone_DH040,275,0.12363636363636364,-0.32593445130304766,0.14837496559127628
Zone_DH041,292,0.21575342465753425,-0.057317341498006324,0.27997576061393326
Zone_DH042,341,0.14076246334310852,-0.16982599376304636,0.24107383621395262
