zone_id,node_id,lon,lat,bc,tier,degree,is_master,is_art_pt
Zone_DH499,642646039,90.3784016,23.7396951,0.00160189,4,3,0,0
Zone_DH499,642646042,90.3806364,23.7401364,0.01164037,4,4,0,1
Zone_DH499,11237343271,90.3858747,23.7311885,0.0,4,1,0,0
Zone_DH499,10759053354,90.3908469,23.7315774,0.00292184,4,3,0,0
Zone_DH499,11237343275,90.3855793,23.7309886,0.03832673,3,3,0,1
Zone_DH499,10759053355,90.3903911,23.7315752,0.00582446,4,3,0,1
Zone_DH499,10759053356,90.3903897,23.7314057,0.00726722,4,3,0,0
Zone_DH499,10759053358,90.3903851,23.7308779,0.01451309,4,3,0,0
Zone_DH499,10759053359,90.3899013,23.7308901,0.0,4,3,0,0
Zone_DH499,11237343278,90.3868782,23.7325607,0.03831819,3,2,0,0
Zone_DH499,11237343283,90.3864954,23.7325104,0.03810994,3,2,0,0
Zone_DH499,4764950580,90.3843838,23.7206585,0.02835552,3,3,0,1
Zone_DH499,4764950581,90.3844098,23.7210583,0.0,4,1,0,0
Zone_DH499,2375819330,90.3955494,23.7216917,0.04282483,3,3,0,1
Zone_DH499,2375819332,90.3966598,23.7216051,0.0,4,1,0,0
Zone_DH499,2375819334,90.3960049,23.7216598,0.0087431,4,3,0,1
Zone_DH499,2375819336,90.3954588,23.7209816,0.0,4,1,0,0
Zone_DH499,2375819337,90.3963488,23.7216268,0.00292077,4,3,0,1
Zone_DH499,10759053384,90.3903885,23.7312739,0.0130746,4,3,0,0
Zone_DH499,2375819339,90.3963452,23.7213218,0.0,4,1,0,0
Zone_DH499,3561472079,90.381327,23.7279745,0.04108625,3,3,0,0
Zone_DH499,4761272404,90.3937547,23.7219396,0.0,4,1,0,0
Zone_DH499,4761272410,90.3932039,23.7218635,0.00969355,4,3,0,1
Zone_DH499,12023169143,90.3958601,23.7249171,0.0,4,1,0,0
Zone_DH499,12023169160,90.3900766,23.7237544,0.0,4,1,0,0
Zone_DH499,7637934219,90.3846711,23.730561,0.00379433,4,3,0,1
Zone_DH499,7637934220,90.3846955,23.7303463,0.00562235,4,3,0,0
Zone_DH499,4363346068,90.3856701,23.7415512,0.01011111,4,3,0,1
Zone_DH499,387096727,90.3756234,23.729461,0.0,4,1,0,0
Zone_DH499,387096734,90.3765863,23.7277311,0.00583407,4,3,0,1
Zone_DH499,387096739,90.3770562,23.726068,0.01018373,4,3,0,1
Zone_DH499,4363346086,90.3857745,23.7408106,0.00472984,4,3,0,1
Zone_DH499,3357270202,90.382953,23.7183881,4.058e-05,4,2,0,0
Zone_DH499,387104971,90.3793764,23.7321934,0.04503971,3,3,0,0
Zone_DH499,10094919883,90.3850142,23.7389914,0.02527884,3,3,0,0
Zone_DH499,387104973,90.3796615,23.7317658,0.04776078,3,3,0,0
Zone_DH499,13563560142,90.3980134,23.7274485,0.02141829,4,3,0,0
Zone_DH499,387104976,90.3769731,23.7321606,0.0,4,1,0,0
Zone_DH499,13563560148,90.3994834,23.7253421,0.01341954,4,3,0,1
Zone_DH499,387104980,90.376029,23.7322156,0.00148869,4,3,0,1
Zone_DH499,1806229718,90.3905946,23.7203739,0.02554902,3,3,0,0
Zone_DH499,1806229719,90.3929549,23.7225431,0.03813237,3,3,0,0
Zone_DH499,1806229720,90.3917671,23.7222244,0.04096451,3,3,0,0
Zone_DH499,13563560152,90.3977064,23.7272879,0.0311065,3,4,0,0
Zone_DH499,13563560153,90.3976354,23.7273635,0.05421958,3,4,0,0
Zone_DH499,13563560155,90.3976309,23.7272488,4.592e-05,4,3,0,0
Zone_DH499,387096815,90.3753573,23.7248543,0.0,4,1,0,0
Zone_DH499,387096824,90.3770476,23.7231487,0.0058896,4,3,0,0
Zone_DH499,6409552120,90.3914796,23.7356966,0.01813122,4,4,0,0
Zone_DH499,13451976953,90.397544,23.7323538,0.00570699,4,3,0,0
Zone_DH499,387096827,90.3780528,23.7223614,0.01301479,4,3,0,0
Zone_DH499,387096828,90.3784639,23.7221312,0.00504487,4,3,0,0
Zone_DH499,13451976956,90.3981991,23.7325469,0.00684753,4,3,0,0
Zone_DH499,13451976957,90.3981532,23.7325394,4.272e-05,4,3,0,0
Zone_DH499,387096831,90.3793481,23.7217232,0.02769982,3,3,0,0
Zone_DH499,13451976962,90.3983568,23.7313888,1.388e-05,4,3,0,0
Zone_DH499,13451976963,90.3983486,23.7313373,0.00286524,4,3,0,0
Zone_DH499,13451976966,90.3985723,23.7325753,0.00538447,4,3,0,0
Zone_DH499,387105032,90.3765979,23.7342545,0.00318669,4,2,0,0
Zone_DH499,13451976968,90.3992836,23.7327266,0.0040453,4,3,0,0
Zone_DH499,13451976972,90.3998384,23.7329291,0.00033319,4,3,0,0
Zone_DH499,387096851,90.3823948,23.7217708,0.01574868,4,3,0,0
Zone_DH499,387096852,90.3825244,23.7219521,0.02810243,3,3,0,0
Zone_DH499,13451976979,90.3990333,23.7322556,0.00129966,4,3,0,0
Zone_DH499,6225133846,90.3971279,23.7297827,0.00292077,4,4,0,1
Zone_DH499,2320154904,90.4000709,23.7280698,0.01450882,4,3,0,0
Zone_DH499,6225133848,90.3966833,23.7297299,0.0,4,1,0,0
Zone_DH499,2320154906,90.3953009,23.7381902,0.02724061,3,3,0,0
Zone_DH499,6225133853,90.398227,23.7301247,0.03054584,3,4,0,0
Zone_DH499,13451976989,90.3981058,23.7330307,0.00962841,4,3,0,0
Zone_DH499,6225133855,90.3981007,23.7300189,0.00180052,4,3,0,0
Zone_DH499,3565093157,90.4004702,23.7281294,0.00329348,4,2,0,0
Zone_DH499,2320154919,90.3958964,23.7381787,0.01618226,4,4,0,0
Zone_DH499,3006693671,90.3924426,23.7288472,0.06502911,3,3,0,0
Zone_DH499,3006693673,90.3921031,23.7283926,0.12103213,2,3,0,0
Zone_DH499,2320154927,90.385387,23.731221,0.04587375,3,3,0,0
Zone_DH499,1806238017,90.3786541,23.7386177,0.00662861,4,4,0,1
Zone_DH499,1806238020,90.3809097,23.7390683,0.01516025,4,4,0,0
Zone_DH499,2320154962,90.3870117,23.7326603,0.17307848,1,3,0,0
Zone_DH499,2320154970,90.3981249,23.737958,0.00885202,4,4,0,1
Zone_DH499,2320154976,90.3852998,23.731903,0.03824878,3,3,0,0
Zone_DH499,387096933,90.3839611,23.7207379,0.05074349,3,4,0,0
Zone_DH499,387096940,90.3832337,23.7217003,0.02752682,3,3,0,0
Zone_DH499,2320154991,90.396536,23.738138,0.00471702,4,3,0,0
Zone_DH499,387096949,90.3820485,23.7225213,0.03060351,3,3,0,0
Zone_DH499,1392394614,90.3860888,23.720196,0.04506106,3,3,0,0
Zone_DH499,387096951,90.3816687,23.7225571,0.02690208,3,3,0,0
Zone_DH499,2320154999,90.3958397,23.7326929,0.03563663,3,3,0,0
Zone_DH499,13563773304,90.3943527,23.732854,0.07644522,2,4,0,1
Zone_DH499,10760798583,90.3915056,23.7370008,0.0101944,4,3,0,1
Zone_DH499,3310338423,90.3765029,23.7268597,0.0,4,1,0,0
Zone_DH499,10760798584,90.3912831,23.7369862,0.00292077,4,3,0,1
Zone_DH499,10760798589,90.3912252,23.7367229,0.0,4,1,0,0
Zone_DH499,10760798590,90.3912736,23.7372469,0.0,4,1,0,0
Zone_DH499,387096959,90.3802834,23.7234148,0.01319741,4,3,0,0
Zone_DH499,2320155010,90.3992417,23.729262,0.00599853,4,2,0,0
Zone_DH499,13563773316,90.4002171,23.7246097,0.00980888,4,4,0,0
Zone_DH499,13563773318,90.400287,23.7246483,0.00766556,4,4,0,0
Zone_DH499,7638114695,90.3849554,23.7303543,0.00389579,4,2,0,0
Zone_DH499,387096968,90.3791029,23.7249157,0.06107993,3,3,0,0
Zone_DH499,387105160,90.3780031,23.7349584,0.01011858,4,4,0,0
Zone_DH499,387105162,90.3785291,23.7353309,0.00146092,4,3,0,1
Zone_DH499,2540880266,90.39,23.7249021,0.0,4,1,0,0
Zone_DH499,2540880268,90.3903864,23.7253667,0.00488255,4,3,0,1
Zone_DH499,387105165,90.3787007,23.7350087,0.00146092,4,3,0,1
Zone_DH499,13563773322,90.3954083,23.7246527,0.02296358,4,4,0,0
Zone_DH499,387096977,90.3773794,23.7253842,0.0115763,4,3,0,0
Zone_DH499,1392394653,90.3860821,23.7203377,0.05007817,3,3,0,0
Zone_DH499,3006841245,90.3888343,23.732814,0.03739764,3,4,0,1
Zone_DH499,3006841246,90.3889023,23.7321429,0.00437849,4,3,0,0
Zone_DH499,3006841247,90.3883293,23.7320636,0.0,4,3,0,0
Zone_DH499,1392394657,90.3838968,23.7240113,0.0519385,3,3,0,0
Zone_DH499,1392394675,90.3851413,23.7204174,0.03610011,3,3,0,0
Zone_DH499,387097021,90.3796038,23.7256977,0.06715642,3,3,0,0
Zone_DH499,2320155069,90.3853156,23.739025,0.01702485,4,3,0,0
Zone_DH499,387097026,90.3806145,23.7263003,0.00714975,4,3,0,1
Zone_DH499,3014943171,90.400496,23.7343931,0.0,4,2,0,0
Zone_DH499,387097033,90.3822998,23.7268566,0.02213593,4,3,0,0
Zone_DH499,387097034,90.3829747,23.7268901,0.03211355,3,3,0,0
Zone_DH499,387097037,90.3871752,23.7240837,0.03785258,3,3,0,0
Zone_DH499,1392394701,90.3900566,23.7189317,0.00100598,4,2,0,0
Zone_DH499,387097041,90.3828205,23.7241507,0.06070936,3,3,0,0
Zone_DH499,387097051,90.381822,23.7264825,0.06225678,3,4,0,0
Zone_DH499,9143255517,90.3899479,23.7231017,0.0,4,1,0,0
