zone_id,node_id,lon,lat,bc,tier,degree,is_master,is_art_pt
Zone_DH463,3363184644,90.3830941,23.7095049,7.812e-05,4,2,0,0
Zone_DH463,3305898003,90.3771906,23.7113841,0.03748497,3,3,0,0
Zone_DH463,9756327968,90.3707467,23.7190348,0.01706297,4,3,0,1
Zone_DH463,11237343271,90.3858747,23.7311885,0.0,4,1,0,0
Zone_DH463,11237343275,90.3855793,23.7309886,0.00272572,4,3,0,1
Zone_DH463,4764950580,90.3843838,23.7206585,0.05733039,3,3,0,1
Zone_DH463,4764950581,90.3844098,23.7210583,0.0,4,1,0,0
Zone_DH463,4243390533,90.3829903,23.7094592,4.278e-05,4,3,0,0
Zone_DH463,3561472079,90.381327,23.7279745,0.0210367,4,3,0,0
Zone_DH463,3473760359,90.3697592,23.7193454,0.03826056,3,3,0,0
Zone_DH463,12023169160,90.3900766,23.7237544,0.0,4,1,0,0
Zone_DH463,7637934219,90.3846711,23.730561,0.00152142,4,3,0,1
Zone_DH463,7637934220,90.3846955,23.7303463,0.00407905,4,3,0,0
Zone_DH463,387096723,90.3716642,23.7317106,0.00087603,4,2,0,0
Zone_DH463,387096724,90.3733099,23.7308233,0.00259181,4,3,0,0
Zone_DH463,3286655126,90.3697316,23.7158626,0.00210265,4,4,0,0
Zone_DH463,387096727,90.3756234,23.729461,0.00556211,4,3,0,0
Zone_DH463,3286655129,90.3692539,23.7161159,0.04982745,3,4,0,0
Zone_DH463,387096734,90.3765863,23.7277311,0.01849697,4,3,0,1
Zone_DH463,387096739,90.3770562,23.726068,0.02214522,4,3,0,0
Zone_DH463,7349665956,90.3730963,23.7103333,0.00392352,4,3,0,0
Zone_DH463,3306766510,90.3730185,23.7107795,0.0199533,4,3,0,0
Zone_DH463,3286655155,90.3695259,23.7171663,0.03959878,3,3,0,0
Zone_DH463,3357270197,90.3833229,23.7164859,0.07678755,3,3,0,0
Zone_DH463,3357270198,90.3827729,23.7165539,0.00357571,4,3,0,0
Zone_DH463,5485945014,90.3711808,23.722085,0.0,4,1,0,0
Zone_DH463,3357270201,90.3842882,23.7180155,0.01378299,4,3,0,0
Zone_DH463,3357270202,90.382953,23.7183881,0.00794189,4,3,0,0
Zone_DH463,5485945020,90.3712164,23.7224131,0.01507099,4,3,0,1
Zone_DH463,4965507261,90.3709538,23.7138583,0.03223254,3,3,0,0
Zone_DH463,4965507260,90.371232,23.7137072,0.03499546,3,3,0,0
Zone_DH463,3313877184,90.3664572,23.7209189,0.00162279,4,3,0,0
Zone_DH463,387104971,90.3793764,23.7321934,0.00274246,4,3,0,0
Zone_DH463,11372904653,90.3709787,23.7281904,0.02442084,4,3,0,1
Zone_DH463,387104973,90.3796615,23.7317658,0.00545145,4,3,0,0
Zone_DH463,11372904654,90.370802,23.7279896,0.0,4,1,0,0
Zone_DH463,387096784,90.3687473,23.7303234,0.00297216,4,3,0,1
Zone_DH463,387104976,90.3769731,23.7321606,0.0,4,1,0,0
Zone_DH463,3314122963,90.371983,23.7155825,0.03661848,3,3,0,1
Zone_DH463,387104980,90.376029,23.7322156,0.00272572,4,3,0,1
Zone_DH463,3314122964,90.3729211,23.7156151,0.01879456,4,3,0,0
Zone_DH463,1806229718,90.3905946,23.7203739,0.00144516,4,2,0,0
Zone_DH463,387096794,90.3708418,23.7283955,0.02186437,4,3,0,0
Zone_DH463,3313811690,90.3668444,23.716989,0.0,4,1,0,0
Zone_DH463,387096813,90.3744126,23.7254195,0.06548059,3,3,0,0
Zone_DH463,387096815,90.3753573,23.7248543,0.05542769,3,3,0,0
Zone_DH463,387096824,90.3770476,23.7231487,0.05960694,3,3,0,0
Zone_DH463,387096827,90.3780528,23.7223614,0.10116655,2,3,0,0
Zone_DH463,387096828,90.3784639,23.7221312,0.03969084,3,3,0,0
Zone_DH463,387096831,90.3793481,23.7217232,0.14704769,1,3,0,0
Zone_DH463,5477359887,90.3731559,23.716585,0.0,4,1,0,0
Zone_DH463,387096851,90.3823948,23.7217708,0.07958256,3,3,0,0
Zone_DH463,387096852,90.3825244,23.7219521,0.08913886,2,3,0,0
Zone_DH463,6050890010,90.3829071,23.7096436,0.00145911,4,3,0,0
Zone_DH463,6050890012,90.3824879,23.7094568,0.00385191,4,3,0,0
Zone_DH463,2320154927,90.385387,23.731221,0.00237327,4,2,0,0
Zone_DH463,5485748531,90.372731,23.7131131,0.03989079,3,3,0,0
Zone_DH463,5485748534,90.3734929,23.7149992,0.02937941,3,3,0,0
Zone_DH463,3363078489,90.3835505,23.7108122,0.0,4,1,0,0
Zone_DH463,2320154976,90.3852998,23.731903,0.0,4,1,0,0
Zone_DH463,1392394596,90.3876007,23.7150569,0.00426109,4,3,0,0
Zone_DH463,387096933,90.3839611,23.7207379,0.10886757,2,4,0,0
Zone_DH463,1392394598,90.3876163,23.7137415,0.00597316,4,3,0,0
Zone_DH463,4506452324,90.3780257,23.7158914,0.01318409,4,3,0,0
Zone_DH463,387096940,90.3832337,23.7217003,0.0883921,2,3,0,0
Zone_DH463,1392394610,90.3859651,23.716808,0.01802548,4,3,0,0
