zone_id,node_id,lon,lat,bc,tier,degree,is_master,is_art_pt
Zone_DH425,5096861696,90.3664967,23.7033875,0.01128096,4,3,0,0
Zone_DH425,5096861697,90.3675806,23.703421,0.01554687,4,3,0,0
Zone_DH425,5096861699,90.3672519,23.7016109,0.05486432,4,3,0,0
Zone_DH425,5096861700,90.368388,23.7030304,0.05628629,4,3,0,0
Zone_DH425,5096861702,90.3667545,23.7027186,0.0419481,4,4,0,0
Zone_DH425,5096861704,90.3663062,23.7010732,0.02502666,4,3,0,0
Zone_DH425,5096861714,90.3651115,23.6998321,0.07657305,3,3,0,0
Zone_DH425,5104758826,90.3717568,23.6941642,0.051262,4,3,0,1
Zone_DH425,5104758827,90.3718159,23.6946996,0.0650551,3,3,0,0
Zone_DH425,3514169435,90.3660028,23.6844273,0.00687285,4,2,0,1
Zone_DH425,5097687144,90.3740408,23.6845052,0.0,4,1,0,0
Zone_DH425,5102739567,90.3715162,23.7027564,0.06273255,4,3,0,1
Zone_DH425,5097687153,90.372325,23.6839589,0.02052376,4,3,0,1
Zone_DH425,3514169459,90.3621519,23.6853689,0.00687285,4,2,0,1
Zone_DH425,11338240115,90.3656066,23.7025937,0.00995379,4,3,0,0
Zone_DH425,3514169461,90.3712149,23.6866809,0.0,4,1,0,0
Zone_DH425,3514169473,90.3720036,23.6876322,0.09915867,3,3,0,1
Zone_DH425,3514169474,90.3656433,23.6865039,0.02730181,4,3,0,1
Zone_DH425,11338240134,90.3679018,23.7019299,0.08766442,3,3,0,0
Zone_DH425,3514169487,90.3702639,23.687101,0.05382154,4,3,0,1
Zone_DH425,11338240143,90.3685373,23.7039773,0.03218391,4,3,0,0
Zone_DH425,3514169496,90.3717343,23.6874565,0.06680886,3,3,0,1
Zone_DH425,3514169517,90.3729903,23.6882955,0.10427776,3,2,0,1
Zone_DH425,11338240178,90.3684582,23.7035313,0.04915274,4,3,0,0
Zone_DH425,11338240186,90.3689918,23.7045518,0.02621164,4,3,0,0
Zone_DH425,5102780632,90.372288,23.7021009,0.17111032,2,3,0,0
Zone_DH425,3514169563,90.3651261,23.6964134,0.03389027,4,2,0,1
Zone_DH425,5102780636,90.3733528,23.7036248,0.03429316,4,3,0,0
Zone_DH425,3514169565,90.3694866,23.695507,0.09268871,3,3,0,0
Zone_DH425,5102780640,90.3735121,23.7024255,0.10809338,3,3,0,0
