zone_id,node_id,lon,lat,bc,tier,degree,is_master,is_art_pt
Zone_DH254,4464363522,90.3256819,23.7190226,0.01484215,4,3,0,1
Zone_DH254,4464363523,90.327199,23.7190239,0.02213838,4,2,0,1
Zone_DH254,3424287236,90.327165,23.7224418,0.0647506,4,3,0,0
Zone_DH254,3301866502,90.323751,23.7313545,0.16254231,3,3,0,0
Zone_DH254,5105017868,90.3316956,23.7262121,0.16989402,3,3,0,1
Zone_DH254,5105017869,90.3311495,23.7259596,0.0,4,1,0,0
Zone_DH254,5105017870,90.3299144,23.7254893,0.0,4,1,0,0
Zone_DH254,5105017871,90.3306848,23.7258661,0.01484215,4,3,0,1
Zone_DH254,5105017872,90.3306574,23.7259055,0.0,4,1,0,0
Zone_DH254,5105017873,90.3309438,23.7254943,0.13957166,3,3,0,1
Zone_DH254,5105017875,90.330364,23.725266,0.11271708,3,3,0,1
Zone_DH254,5105017876,90.330086,23.7251566,0.0,4,1,0,0
Zone_DH254,5105017877,90.3317502,23.7258117,0.15133441,3,3,0,1
Zone_DH254,12089220628,90.317249,23.7252892,0.0,4,1,0,0
Zone_DH254,11333612569,90.3318154,23.7343246,2.774e-05,4,2,0,0
Zone_DH254,12089220633,90.3158918,23.7263844,0.0,4,1,0,0
Zone_DH254,3959068187,90.330043,23.7303445,0.07634689,4,3,0,1
Zone_DH254,3959068188,90.3299005,23.7303581,0.07767852,4,4,0,0
Zone_DH254,11333612575,90.3204516,23.7379432,0.01509183,4,3,0,1
Zone_DH254,4469728800,90.3234276,23.7289023,0.08672252,3,3,0,0
Zone_DH254,11333612577,90.3250441,23.7344738,0.10142596,3,3,0,0
Zone_DH254,4469728802,90.3218084,23.7289378,0.0,4,1,0,0
Zone_DH254,11333612579,90.3229787,23.7339869,0.17893802,2,3,0,0
Zone_DH254,11333612576,90.322459,23.7363869,0.0681629,4,4,0,1
Zone_DH254,3522485797,90.3080015,23.7249498,0.00158131,4,2,0,0
Zone_DH254,12089220646,90.3162537,23.7308786,0.10170338,3,3,0,1
Zone_DH254,12089220647,90.3187789,23.7316884,0.1164623,3,3,0,1
