zone_id,node_id,lon,lat,bc,tier,degree,is_master,is_art_pt
Zone_DH578,4908603423,90.4187455,23.8086997,0.00331675,4,2,0,1
Zone_DH578,373102631,90.4002432,23.8194057,0.04940965,3,3,0,0
Zone_DH578,2948446248,90.4151819,23.8133615,0.00735525,4,3,0,0
Zone_DH578,11166482481,90.415172,23.8053159,0.09778351,3,4,0,0
Zone_DH578,11166482482,90.4138675,23.8040795,0.01426974,4,4,0,0
Zone_DH578,11166482483,90.4139319,23.8039834,0.0715911,3,3,0,0
Zone_DH578,11166482484,90.4154955,23.8065171,0.11643885,3,4,0,0
Zone_DH578,9983713332,90.3953355,23.8203524,0.0,4,2,0,0
Zone_DH578,4926685243,90.4155128,23.8079126,0.0,4,1,0,0
Zone_DH578,4848986179,90.3975773,23.8180653,0.01879308,4,3,0,0
Zone_DH578,373102660,90.3992912,23.8106999,0.07905103,3,3,0,0
Zone_DH578,373102661,90.4023885,23.8109834,0.18160581,2,3,0,0
Zone_DH578,4848986185,90.4003907,23.818459,0.05426908,3,3,0,0
Zone_DH578,4848986186,90.3993987,23.8184762,0.00373548,4,3,0,0
Zone_DH578,13531437129,90.4137518,23.809932,0.0,4,1,0,0
Zone_DH578,4848986188,90.397206,23.8207686,0.0,4,1,0,0
Zone_DH578,373102669,90.4032679,23.8110589,0.19877357,1,3,0,0
Zone_DH578,4848986189,90.3971892,23.8209108,0.00453987,4,3,0,1
Zone_DH578,4848986192,90.397076,23.8218704,0.00127822,4,2,0,0
Zone_DH578,4430231635,90.403244,23.8047063,0.00360325,4,3,0,0
Zone_DH578,4848986198,90.3992531,23.8223246,0.01266646,4,3,0,0
Zone_DH578,9645240426,90.4095035,23.8169385,0.16182102,2,3,0,0
Zone_DH578,9645240427,90.4094891,23.8167991,0.16130312,2,4,0,0
Zone_DH578,386826365,90.3949489,23.8027284,0.00330573,4,2,0,0
Zone_DH578,4926685313,90.4171201,23.8082113,0.0,4,1,0,0
Zone_DH578,6852147331,90.4173969,23.8084543,0.0,4,1,0,0
Zone_DH578,4948590723,90.4183374,23.8167842,0.00127822,4,2,0,0
Zone_DH578,4948590726,90.418497,23.8160665,0.00092009,4,2,0,0
Zone_DH578,4948590728,90.4183117,23.815674,0.0126334,4,3,0,0
Zone_DH578,4948590729,90.4182664,23.8158775,0.00303025,4,3,0,0
Zone_DH578,4948590730,90.4184656,23.8153837,0.01352595,4,2,0,0
Zone_DH578,4948590733,90.418143,23.8154567,0.0,4,1,0,0
Zone_DH578,4948590734,90.4181418,23.8156437,0.00771337,4,3,0,1
Zone_DH578,4948590735,90.4180906,23.8158398,0.00579605,4,3,0,0
Zone_DH578,4948590741,90.4177384,23.8168738,0.01382897,4,3,0,0
Zone_DH578,326916248,90.4120634,23.8098981,0.00076583,4,3,0,0
Zone_DH578,4929786009,90.4046924,23.8041362,0.0,4,1,0,0
Zone_DH578,4929786013,90.4037094,23.8046429,0.00331675,4,3,0,1
Zone_DH578,86759589,90.4120689,23.8001102,0.00116252,4,3,0,0
Zone_DH578,86759593,90.412196,23.8001439,0.00192283,4,2,0,0
Zone_DH578,4908603565,90.4185843,23.8089609,0.01322292,4,3,0,1
Zone_DH578,1615196334,90.4040847,23.8109966,0.19050925,2,3,0,0
Zone_DH578,4908603584,90.4178889,23.8089943,0.01898591,4,3,0,1
Zone_DH578,4457633992,90.3953491,23.8050481,0.01677107,4,3,0,0
Zone_DH578,4457633999,90.3960389,23.8076607,0.02482604,4,3,0,1
Zone_DH578,4929876186,90.3966414,23.8070165,0.0174818,4,3,0,0
Zone_DH578,4929876187,90.3966962,23.8058924,0.0024242,4,3,0,0
Zone_DH578,10068005085,90.4126659,23.8207066,0.0,4,1,0,0
Zone_DH578,9689092318,90.4045718,23.8165053,0.01749833,4,2,0,0
Zone_DH578,2996435168,90.4001202,23.8036206,0.05079806,3,3,0,0
Zone_DH578,2996435169,90.4020745,23.8029859,0.05398258,3,3,0,0
Zone_DH578,4929876197,90.3972574,23.8049317,0.02255059,4,3,0,0
Zone_DH578,4929876199,90.395644,23.8050827,0.01664986,4,3,0,0
Zone_DH578,10068005095,90.4056032,23.8217335,0.00331675,4,2,0,1
Zone_DH578,4457634028,90.3968928,23.808703,0.02109607,4,3,0,0
Zone_DH578,9734066431,90.4001894,23.8163366,0.08166256,3,4,0,0
Zone_DH578,2869303555,90.3960677,23.8115164,0.04466042,3,3,0,1
Zone_DH578,2869303557,90.3996197,23.8117373,0.09216377,3,3,0,0
Zone_DH578,326916358,90.4132651,23.8091669,0.09173402,3,3,0,0
Zone_DH578,1551032584,90.4025082,23.8031063,0.19741822,1,3,0,0
Zone_DH578,9734066440,90.4045659,23.8160618,0.24630447,1,5,0,0
Zone_DH578,4563018004,90.3950061,23.8116261,0.0,4,1,0,0
Zone_DH578,11975536916,90.402665,23.8005521,0.0,4,1,0,0
Zone_DH578,6301702433,90.4183537,23.8133657,0.0,4,1,0,0
Zone_DH578,11337957667,90.3944935,23.8195013,0.0,4,1,0,0
Zone_DH578,9983742245,90.3969821,23.8184445,0.00991719,4,3,0,1
Zone_DH578,326912298,90.4103586,23.8126816,2.755e-05,4,3,0,0
