zone_id,node_count,edge_count,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency
Zone_DH647,1145,2763,0.002109,0.0256,0.0214,4.8262,20,10,97.82,99.04,0.0087,3.6245,37.0,1.0935,0.002147,0.002147,1.6441,0.042468,0.019254,0.7059,0.029564,0.000882,0.0216,0.0021,0.064428,0.021605
Zone_DH648,1043,2543,0.00234,0.0244,0.0213,4.8763,26,7,96.26,99.42,0.0067,3.3362,37.0,1.1457,0.002367,0.002367,1.6311,0.041858,0.02163,0.7042,0.030914,0.000964,0.0215,0.0024,0.065026,0.021472
Zone_DH649,992,2384,0.002425,0.0277,0.0256,4.8065,22,9,97.28,99.19,0.0091,3.0513,39.0,1.2383,0.002465,0.002465,1.651,0.040522,0.024532,0.6836,0.031735,0.001016,0.0258,0.0025,0.069403,0.025847
Zone_DH650,788,1900,0.003064,0.0409,0.0372,4.8223,19,9,96.57,97.84,0.0114,3.3842,40.0,1.4249,0.003167,0.003167,1.6404,0.03987,0.031207,0.7235,0.035828,0.001297,0.0359,0.0032,0.072166,0.035884
Zone_DH651,538,1295,0.004482,0.0476,0.0424,4.8141,29,6,63.94,95.54,0.0112,3.7272,36.0,1.5521,0.004771,0.004771,1.6343,0.042075,0.026157,0.7633,0.043839,0.001946,0.0425,0.0048,0.077199,0.042477
Zone_DH652,438,1008,0.005266,0.0218,0.0152,4.6027,19,2,94.75,99.09,0.0046,3.864,24.0,1.1468,0.005332,0.005332,1.7325,0.067196,0.029582,0.7388,0.04771,0.002304,0.0154,0.0053,0.094924,0.015361
Zone_DH653,521,1193,0.004404,0.0253,0.017,4.5797,13,12,97.7,97.89,0.023,3.9291,25.0,1.0953,0.004596,0.004596,1.71,0.065764,0.02877,0.6836,0.044047,0.001961,0.0173,0.0046,0.088532,0.01732
Zone_DH654,620,1418,0.003695,0.0217,0.0134,4.5742,8,8,98.06,98.06,0.0129,3.8426,28.0,1.1245,0.003815,0.003815,1.7273,0.057163,0.028649,0.6657,0.040342,0.001645,0.0137,0.0038,0.079487,0.013706
Zone_DH655,591,1341,0.003846,0.0362,0.0254,4.5381,5,3,99.15,99.66,0.0051,3.8339,28.0,1.1518,0.003872,0.003872,1.7569,0.057595,0.027819,0.7196,0.040984,0.001698,0.0255,0.0039,0.078884,0.025467
Zone_DH656,488,1092,0.004595,0.0492,0.0335,4.4754,12,12,71.72,71.72,0.0246,3.7687,23.0,1.0412,0.0065,0.0065,1.7632,0.070355,0.040435,0.7132,0.053184,0.002857,0.0333,0.0065,0.09628,0.033333
Zone_DH657,312,692,0.007132,0.0615,0.0395,4.4359,12,12,63.78,63.78,0.0385,3.6882,21.0,1.1889,0.011827,0.011827,1.7082,0.084056,0.060281,0.6776,0.070522,0.005025,0.0385,0.0118,0.122355,0.040201
Zone_DH658,238,516,0.009148,0.0417,0.0231,4.3361,9,9,68.07,68.07,0.0378,3.8118,19.0,1.2316,0.014339,0.014339,1.7326,0.092797,0.061632,0.6854,0.078159,0.006173,0.0288,0.0143,0.134334,0.030864
Zone_DH659,97,184,0.019759,0.0221,0.0155,3.7938,10,10,77.32,77.32,0.1031,3.7049,19.0,1.9292,0.028468,0.028468,1.8987,0.099791,0.126668,0.6736,0.114901,0.013333,0.02,0.0281,0.163317,0.02
Zone_DH660,69,148,0.031543,0.0252,0.0121,4.2899,4,4,82.61,82.61,0.058,3.6097,11.0,1.3242,0.040727,0.040727,1.7538,0.15348,0.104866,0.6509,0.131835,0.017544,0.0146,0.04,0.217097,0.01462
Zone_DH661,96,216,0.023684,0.0163,0.0087,4.5,4,4,95.83,95.83,0.0417,3.5523,14.0,1.4289,0.025561,0.025561,1.7196,0.126889,0.081476,0.5861,0.103738,0.01087,0.0091,0.0253,0.178105,0.009058
Zone_DH662,109,235,0.019963,0.0154,0.0214,4.3119,4,4,92.66,92.66,0.0367,3.5191,16.0,1.5325,0.022178,0.022178,1.8036,0.113922,0.08368,0.6262,0.099037,0.009901,0.0,0.022,0.168455,0.0
Zone_DH663,71,141,0.02837,0.0261,0.0235,3.9718,5,4,84.51,92.96,0.0563,3.595,12.0,1.4241,0.031935,0.031935,1.927,0.131825,0.09019,0.5834,0.122534,0.015152,0.0253,0.0315,0.205166,0.025253
Zone_DH664,15,25,0.119048,0.1429,0.1111,3.3333,5,2,40.0,93.33,0.1333,3.0595,6.0,1.5492,0.137363,0.137363,1.68,0.227691,0.122711,0.5075,0.266246,0.071429,0.119,0.1276,0.412454,0.119048
Zone_DH665,74,172,0.03184,0.0395,0.045,4.6486,2,2,98.65,98.65,0.027,3.535,13.0,1.5112,0.032725,0.032725,1.6977,0.136413,0.093486,0.6456,0.116473,0.013699,0.0457,0.0323,0.195367,0.045662
Zone_DH666,185,430,0.012632,0.0448,0.0414,4.6486,7,7,95.14,95.14,0.0378,3.5803,19.0,1.3969,0.013766,0.013766,1.6604,0.091774,0.060647,0.6936,0.074914,0.005682,0.0436,0.0137,0.131131,0.044981
Zone_DH667,289,716,0.008602,0.0306,0.0213,4.955,7,7,83.39,83.39,0.0242,3.5679,19.0,1.1176,0.010443,0.010443,1.596,0.087059,0.047674,0.6856,0.06402,0.004149,0.0256,0.0104,0.119506,0.026625
Zone_DH668,608,1568,0.004249,0.0575,0.0463,5.1579,8,8,67.93,67.93,0.0132,3.9453,28.0,1.1355,0.006347,0.006347,1.5296,0.062175,0.037454,0.7106,0.049007,0.002421,0.0557,0.0063,0.088168,0.05569
Zone_DH669,1210,3183,0.002176,0.0432,0.0354,5.2612,18,9,92.31,98.02,0.0074,3.9083,35.0,1.0062,0.002242,0.002242,1.5056,0.043739,0.016509,0.6928,0.028911,0.000843,0.0361,0.0022,0.062583,0.036144
Zone_DH670,1558,4056,0.001672,0.0395,0.0331,5.2067,27,11,97.43,98.46,0.0071,3.7881,38.0,0.9627,0.001714,0.001714,1.5222,0.042044,0.014924,0.7078,0.025422,0.000652,0.0336,0.0017,0.058791,0.033594
Zone_DH671,1418,3463,0.001723,0.0285,0.0213,4.8843,36,11,91.47,97.46,0.0078,3.7732,42.0,1.1154,0.001785,0.001785,1.6225,0.036765,0.017175,0.7318,0.026772,0.000724,0.0218,0.0018,0.060619,0.021804
Zone_DH672,978,2168,0.002269,0.0353,0.0267,4.4335,29,20,92.33,93.46,0.0204,3.8198,37.0,1.1831,0.002476,0.002476,1.7696,0.043479,0.024018,0.6741,0.032919,0.001094,0.0245,0.0025,0.073496,0.024818
Zone_DH673,788,1762,0.002841,0.0402,0.0278,4.4721,46,10,88.71,97.46,0.0127,3.685,40.0,1.4249,0.002947,0.002947,1.7696,0.039193,0.028542,0.7488,0.035889,0.001302,0.026,0.0029,0.067998,0.02628
Zone_DH674,719,1668,0.003231,0.0417,0.0287,4.6398,13,11,97.22,97.64,0.0153,3.6694,30.0,1.1188,0.003361,0.003361,2.1221,0.053141,0.027177,0.7456,0.037549,0.001425,0.0294,0.0034,0.074317,0.02944
Zone_DH675,890,2169,0.002741,0.0408,0.0295,4.8742,24,14,95.39,97.3,0.0157,3.7245,30.0,1.0056,0.002866,0.002866,2.0168,0.052181,0.020363,0.7077,0.033804,0.001155,0.0303,0.0029,0.073368,0.030716
Zone_DH676,1102,2727,0.002248,0.0304,0.0213,4.9492,22,12,97.64,98.64,0.0109,3.7746,35.0,1.0543,0.002303,0.002303,1.9989,0.045858,0.019904,0.7375,0.030179,0.00092,0.0216,0.0023,0.064265,0.021864
Zone_DH677,1026,2572,0.002446,0.0178,0.0141,5.0136,12,11,98.54,98.73,0.0107,3.8156,39.0,1.2176,0.002503,0.002503,1.9739,0.043891,0.022856,0.7571,0.031247,0.000987,0.0143,0.0025,0.062321,0.014314
Zone_DH678,854,2117,0.002906,0.0153,0.0117,4.9578,17,10,95.78,98.01,0.0117,3.6535,43.0,1.4714,0.003003,0.003003,1.5935,0.040308,0.02738,0.7403,0.034368,0.001195,0.0119,0.003,0.063921,0.011947
Zone_DH679,693,1610,0.003357,0.0134,0.0091,4.6465,28,11,79.22,97.98,0.0159,3.7,40.0,1.5195,0.003486,0.003486,1.6922,0.038867,0.02655,0.729,0.038175,0.001473,0.0093,0.0035,0.068913,0.009327
Zone_DH680,867,2153,0.002868,0.0262,0.02,4.9666,12,7,98.5,99.31,0.0081,3.7276,42.0,1.4264,0.002908,0.002908,1.5996,0.041694,0.028095,0.708,0.033921,0.001161,0.0201,0.0029,0.064645,0.020132
Zone_DH681,963,2364,0.002552,0.0314,0.0242,4.9097,16,10,95.22,96.26,0.0104,3.6601,36.0,1.1601,0.002679,0.002679,1.6122,0.045395,0.023532,0.6656,0.032693,0.001079,0.023,0.0027,0.06725,0.023013
Zone_DH682,997,2372,0.002389,0.0276,0.0222,4.7583,22,16,95.49,96.29,0.016,3.4574,36.0,1.1401,0.00252,0.00252,1.6552,0.044975,0.022204,0.6918,0.03213,0.001042,0.021,0.0025,0.066707,0.021007
Zone_DH683,973,2372,0.002508,0.0153,0.0159,4.8756,13,9,98.25,98.97,0.0092,2.6649,38.0,1.2182,0.002557,0.002557,1.626,0.045136,0.022342,0.6716,0.032091,0.001038,0.0129,0.0026,0.06833,0.012911
Zone_DH684,905,2247,0.002747,0.018,0.0189,4.9657,32,9,92.27,98.12,0.0099,2.2991,38.0,1.2632,0.00283,0.00283,1.5935,0.044722,0.022169,0.6721,0.033425,0.001126,0.0193,0.0028,0.072301,0.019257
Zone_DH685,694,1662,0.003456,0.0256,0.0233,4.7896,29,8,84.29,98.7,0.0115,2.9484,40.0,1.5184,0.003539,0.003539,1.6526,0.039605,0.026517,0.7283,0.03804,0.00146,0.0236,0.0035,0.074426,0.023601
Zone_DH686,364,814,0.006161,0.0622,0.054,4.4725,21,9,79.12,80.77,0.0247,3.6615,38.0,1.9917,0.00801,0.00801,1.7043,0.049531,0.065965,0.7422,0.057975,0.003401,0.0556,0.008,0.08704,0.055556
Zone_DH687,226,512,0.010069,0.0332,0.0192,4.531,12,10,79.2,79.65,0.0442,3.8184,18.0,1.1973,0.012694,0.012694,1.7604,0.09119,0.0559,0.6276,0.074107,0.005556,0.0194,0.0126,0.127128,0.021296
Zone_DH688,296,680,0.007787,0.0444,0.0276,4.5946,7,6,96.96,97.3,0.0203,3.9854,21.0,1.2206,0.008154,0.008154,1.7092,0.07776,0.041559,0.6299,0.058611,0.003472,0.0284,0.0081,0.108529,0.029514
Zone_DH689,403,906,0.005592,0.0377,0.0248,4.4963,6,6,98.51,98.51,0.0149,3.8967,24.0,1.1955,0.00575,0.00575,1.7566,0.067304,0.034243,0.6755,0.049917,0.002519,0.0252,0.0057,0.094704,0.026029
Zone_DH690,444,983,0.004998,0.0321,0.0191,4.4279,7,5,97.97,98.65,0.0113,3.7994,25.0,1.1864,0.005115,0.005115,1.7896,0.064791,0.032009,0.717,0.04752,0.002283,0.0194,0.0051,0.088678,0.019406
Zone_DH691,368,800,0.005923,0.0403,0.0236,4.3478,14,14,87.77,87.77,0.038,3.8039,25.0,1.3032,0.00698,0.00698,1.7796,0.068864,0.044207,0.6873,0.055341,0.003096,0.0268,0.007,0.096769,0.026832
Zone_DH692,258,550,0.008295,0.0596,0.0349,4.2636,16,16,43.41,43.41,0.062,3.6688,16.0,0.9961,0.021075,0.021075,1.7099,0.110746,0.07654,0.6392,0.094021,0.008929,0.0327,0.0209,0.159199,0.035714
Zone_DH693,149,314,0.014239,0.0478,0.0246,4.2148,7,7,59.06,59.06,0.047,3.5688,14.0,1.1469,0.026385,0.026385,1.7426,0.12762,0.082673,0.637,0.106035,0.011364,0.0417,0.0261,0.180261,0.045455
Zone_DH694,57,102,0.031955,0.0,0.0,3.5789,7,7,52.63,52.63,0.1228,3.7769,9.0,1.1921,0.068966,0.068966,2.0,0.207022,0.144253,0.6586,0.18155,0.033333,0.0,0.0667,0.287023,0.0
Zone_DH695,56,112,0.036364,0.0,0.0,4.0,5,5,71.43,71.43,0.0893,3.7379,10.0,1.3363,0.05641,0.05641,1.8182,0.177103,0.129184,0.5748,0.157461,0.025,0.0,0.055,0.251144,0.0
Zone_DH696,64,135,0.033482,0.0,0.0,4.2188,5,4,89.06,89.06,0.0625,3.5742,12.0,1.5,0.0401,0.0401,1.7812,0.149188,0.107375,0.6315,0.131839,0.017544,0.0,0.0394,0.213108,0.0
Zone_DH697,86,187,0.025581,0.0368,0.031,4.3488,4,2,81.4,81.4,0.0233,3.7202,11.0,1.1862,0.031884,0.031884,1.8182,0.14598,0.088766,0.4736,0.118989,0.014286,0.0,0.0314,0.211591,0.0
Zone_DH698,70,148,0.030642,0.0472,0.0381,4.2286,4,2,78.57,78.57,0.0286,3.7349,11.0,1.3148,0.039731,0.039731,1.8644,0.160372,0.10387,0.5573,0.134257,0.018182,0.0,0.039,0.236259,0.0
Zone_DH700,51,108,0.042353,0.0674,0.0654,4.2353,3,3,58.82,58.82,0.0588,3.3866,9.0,1.2603,0.073563,0.073563,1.875,0.207092,0.145977,0.579,0.181604,0.033333,0.1111,0.0711,0.29139,0.111111
Zone_DH701,127,268,0.016748,0.0698,0.0591,4.2205,7,7,55.12,55.12,0.0551,3.8584,13.0,1.1536,0.031884,0.031884,1.8182,0.133037,0.102044,0.6279,0.11892,0.014286,0.0833,0.0314,0.192019,0.083333
Zone_DH702,332,788,0.007171,0.0519,0.0341,4.747,10,10,73.8,73.8,0.0301,3.9093,19.0,1.0428,0.010171,0.010171,1.6118,0.086661,0.044777,0.643,0.06363,0.004082,0.0286,0.0101,0.119116,0.028571
Zone_DH703,722,1786,0.003431,0.0626,0.0459,4.9474,11,11,93.07,93.07,0.0152,3.9886,43.0,1.6003,0.003757,0.003757,1.5868,0.041896,0.035496,0.7931,0.038408,0.001488,0.0459,0.0038,0.066012,0.045883
Zone_DH704,1248,3376,0.002169,0.0379,0.0322,5.4103,6,6,99.52,99.52,0.0048,3.7619,37.0,1.0474,0.002189,0.002189,1.4724,0.043797,0.01754,0.6894,0.028266,0.000805,0.0323,0.0022,0.060285,0.03234
Zone_DH705,1483,3972,0.001807,0.0272,0.0224,5.3567,26,12,97.64,99.12,0.0081,3.6702,40.0,1.0387,0.001838,0.001838,1.4819,0.040852,0.016016,0.6813,0.025975,0.00068,0.0226,0.0018,0.057787,0.022562
Zone_DH706,1232,3165,0.002087,0.0262,0.0217,5.138,35,7,96.43,99.19,0.0057,3.601,43.0,1.2251,0.002116,0.002116,1.9354,0.039558,0.019086,0.738,0.028471,0.000818,0.0219,0.0021,0.060647,0.021904
Zone_DH707,715,1682,0.003295,0.0315,0.0232,4.7049,18,11,94.13,95.24,0.0154,3.7092,35.0,1.3089,0.003511,0.003511,2.0941,0.048201,0.02958,0.6698,0.038124,0.001468,0.0219,0.0035,0.07603,0.022418
Zone_DH708,533,1295,0.004567,0.0436,0.0323,4.8593,19,10,56.47,56.85,0.0188,3.5035,26.0,1.1262,0.008491,0.008491,1.5598,0.066222,0.048084,0.7366,0.057116,0.0033,0.0262,0.0085,0.103728,0.026183
Zone_DH709,521,1269,0.004684,0.0403,0.0306,4.8714,12,10,92.71,93.09,0.0192,3.5266,36.0,1.5772,0.00515,0.00515,2.0058,0.049016,0.039369,0.803,0.045129,0.002062,0.0274,0.0051,0.077308,0.027354
Zone_DH710,650,1549,0.003672,0.0381,0.0255,4.7662,11,11,81.38,81.38,0.0169,3.7686,29.0,1.1375,0.004518,0.004518,2.0959,0.060645,0.029579,0.7007,0.043248,0.00189,0.0221,0.0045,0.083521,0.022054
Zone_DH711,731,1776,0.003328,0.0278,0.0182,4.8591,8,8,99.04,99.04,0.0109,3.7473,29.0,1.0726,0.003393,0.003393,2.0383,0.054729,0.024077,0.7227,0.036978,0.001381,0.0184,0.0034,0.073764,0.018416
Zone_DH712,770,1991,0.003362,0.0208,0.0171,5.1714,8,6,94.29,99.35,0.0078,3.352,36.0,1.2973,0.003407,0.003407,1.5369,0.045471,0.024343,0.7337,0.03597,0.001307,0.0172,0.0034,0.069872,0.017211
Zone_DH713,615,1610,0.004264,0.0224,0.0195,5.2358,15,13,85.2,93.01,0.0211,2.5524,30.0,1.2097,0.004733,0.004733,1.4799,0.052359,0.02845,0.6859,0.041619,0.001748,0.0184,0.0047,0.085034,0.018357
Zone_DH714,390,953,0.006282,0.0268,0.0222,4.8872,19,17,76.92,83.33,0.0436,2.6155,26.0,1.3166,0.008101,0.008101,1.524,0.063784,0.040478,0.6771,0.055202,0.003077,0.0221,0.0081,0.106398,0.022051
Zone_DH715,380,837,0.005812,0.0452,0.0364,4.4053,16,14,82.37,83.42,0.0368,3.7377,57.0,2.924,0.007337,0.007337,1.7252,0.037659,0.083901,0.7288,0.055899,0.003155,0.0363,0.0073,0.077739,0.036278
Zone_DH716,624,1466,0.003771,0.0396,0.0299,4.6987,9,7,90.71,96.79,0.0112,3.3785,33.0,1.3211,0.003948,0.003948,1.6801,0.046202,0.030949,0.737,0.04049,0.001656,0.0309,0.0039,0.074493,0.030905
Zone_DH717,783,1785,0.002915,0.0301,0.0221,4.5594,20,16,89.02,95.91,0.0204,2.9241,33.0,1.1793,0.003109,0.003109,1.7156,0.047224,0.024961,0.7606,0.036315,0.001332,0.0231,0.0031,0.072958,0.02308
Zone_DH718,819,1996,0.002979,0.0175,0.0142,4.8742,14,14,93.41,93.41,0.0171,1.9569,29.0,1.0133,0.003258,0.003258,1.6071,0.055763,0.023151,0.6874,0.035991,0.001307,0.0152,0.0033,0.079087,0.015163
Zone_DH719,763,1976,0.003399,0.018,0.018,5.1796,22,8,91.87,98.3,0.0105,1.8021,34.0,1.2309,0.003496,0.003496,1.5275,0.049249,0.023663,0.6587,0.036368,0.001333,0.0184,0.0035,0.078306,0.018356
Zone_DH720,574,1460,0.004439,0.022,0.0241,5.0871,16,3,96.34,98.61,0.0052,2.5492,35.0,1.4609,0.004528,0.004528,1.5635,0.049864,0.034549,0.7308,0.041831,0.001767,0.0244,0.0045,0.08444,0.024441
Zone_DH721,285,628,0.007759,0.0506,0.0444,4.407,10,5,92.63,94.39,0.0175,3.3247,29.0,1.7178,0.008378,0.008378,1.7815,0.061205,0.055764,0.6942,0.060651,0.003717,0.0471,0.0083,0.109773,0.047088
Zone_DH722,84,158,0.022662,0.055,0.0238,3.7619,9,8,75.0,76.19,0.0952,3.9897,16.0,1.7457,0.032242,0.032242,1.4769,0.106651,0.140463,0.6208,0.124465,0.015625,0.0312,0.0317,0.17147,0.036458
Zone_DH723,115,238,0.018154,0.0495,0.0261,4.1391,5,5,94.78,94.78,0.0435,4.0515,19.0,1.7718,0.019878,0.019878,1.3974,0.092204,0.098398,0.6734,0.095345,0.009174,0.0275,0.0197,0.139192,0.030581
Zone_DH724,197,428,0.011085,0.0497,0.0338,4.3452,4,2,98.48,99.49,0.0102,4.0029,18.0,1.2824,0.011198,0.011198,1.8318,0.090508,0.05204,0.698,0.071027,0.005102,0.034,0.0111,0.123826,0.036565
Zone_DH725,293,648,0.007574,0.05,0.0313,4.4232,3,2,98.63,98.98,0.0068,3.85,21.0,1.2268,0.007684,0.007684,1.8012,0.075431,0.044987,0.6986,0.058408,0.003448,0.0316,0.0077,0.102026,0.032471
Zone_DH726,258,562,0.008476,0.0588,0.0336,4.3566,4,4,98.06,98.06,0.0155,3.8667,26.0,1.6187,0.008752,0.008752,1.8136,0.067498,0.058662,0.7104,0.06255,0.003953,0.0343,0.0087,0.097257,0.034256
Zone_DH727,164,340,0.012719,0.1007,0.0508,4.1463,9,9,27.44,27.44,0.0549,3.7999,12.0,0.937,0.048485,0.048485,1.875,0.150345,0.137844,0.6375,0.148121,0.022222,0.037,0.0474,0.224477,0.037037
Zone_DH728,71,142,0.028571,0.1062,0.0516,4.0,7,7,54.93,54.93,0.0986,3.6134,9.0,1.0681,0.053981,0.053981,1.95,0.192837,0.119014,0.6792,0.159249,0.025641,0.0,0.0526,0.25865,0.0
Zone_DH729,56,108,0.035065,0.0,0.0,3.8571,4,4,94.64,94.64,0.0714,3.6518,11.0,1.4699,0.039187,0.039187,1.963,0.158567,0.10883,0.7023,0.136592,0.018868,0.0,0.0384,0.218224,0.0
Zone_DH730,75,156,0.028108,0.0,0.0,4.16,6,5,77.33,78.67,0.0667,3.8858,10.0,1.1547,0.038574,0.038574,1.7879,0.166249,0.088306,0.5431,0.129564,0.016949,0.0,0.0379,0.230073,0.0
Zone_DH731,80,182,0.028797,0.0,0.0,4.55,4,2,95.0,98.75,0.025,3.8531,14.0,1.5652,0.029536,0.029536,1.3022,0.126208,0.08686,0.4951,0.112093,0.012658,0.0,0.0292,0.196322,0.0
Zone_DH732,88,193,0.025209,0.0337,0.0284,4.3864,5,2,86.36,98.86,0.0227,3.7907,18.0,1.9188,0.025795,0.025795,1.8031,0.092374,0.091928,0.5539,0.106789,0.011494,0.0287,0.0255,0.172101,0.028736
Zone_DH733,45,87,0.043939,0.0845,0.0556,3.8667,7,4,42.22,53.33,0.0889,3.5264,7.0,1.0435,0.083333,0.083333,1.5652,0.197294,0.125494,0.575,0.203464,0.041667,0.0,0.0799,0.322041,0.0
Zone_DH735,54,114,0.039832,0.0667,0.0617,4.2222,2,2,51.85,51.85,0.037,3.4322,8.5,1.1567,0.079365,0.079365,1.4,0.210647,0.152218,0.5702,0.188073,0.035714,0.0,0.0765,0.297065,0.0
Zone_DH736,249,548,0.008874,0.039,0.0288,4.4016,9,9,85.94,85.94,0.0361,3.8068,20.0,1.2674,0.010706,0.010706,1.7541,0.083258,0.053471,0.6989,0.068014,0.004673,0.0179,0.0107,0.115895,0.017913
Zone_DH737,504,1198,0.004726,0.0312,0.0215,4.754,10,10,94.64,94.64,0.0198,3.7845,23.0,1.0245,0.005109,0.005109,1.6448,0.070087,0.028571,0.6881,0.045573,0.002096,0.0206,0.0051,0.092355,0.020615
Zone_DH738,814,1992,0.00301,0.0387,0.0291,4.8943,5,5,99.26,99.26,0.0061,3.8408,44.0,1.5422,0.003049,0.003049,1.6258,0.046236,0.026654,0.7393,0.035024,0.001238,0.0293,0.003,0.066598,0.02929
Zone_DH739,926,2256,0.002634,0.0304,0.0229,4.8726,22,14,96.44,96.54,0.0151,3.6654,38.0,1.2488,0.002787,0.002787,1.6072,0.044197,0.02471,0.7278,0.033286,0.001119,0.0237,0.0028,0.062664,0.023676
Zone_DH740,1039,2677,0.002482,0.0208,0.0164,5.153,12,10,98.56,98.75,0.0096,3.5569,39.0,1.2099,0.002538,0.002538,1.5377,0.04506,0.020863,0.7025,0.031081,0.000975,0.0166,0.0025,0.064088,0.016569
Zone_DH741,902,2339,0.002878,0.0342,0.0291,5.1863,9,4,99.11,99.67,0.0044,3.5579,38.0,1.2653,0.002897,0.002897,1.9218,0.045683,0.023942,0.7308,0.033203,0.001112,0.0292,0.0029,0.067354,0.029588
Zone_DH742,557,1362,0.004398,0.0496,0.037,4.8905,12,8,97.49,98.56,0.0144,3.5938,25.0,1.0593,0.00452,0.00452,2.0184,0.062769,0.028148,0.6391,0.042471,0.001821,0.0375,0.0045,0.087785,0.038737
Zone_DH743,404,1036,0.006363,0.055,0.0488,5.1287,6,4,98.76,99.26,0.0099,3.5295,30.0,1.4926,0.006459,0.006459,1.9353,0.058264,0.041971,0.7422,0.049645,0.002494,0.0491,0.0064,0.092468,0.05079
Zone_DH744,303,737,0.008054,0.027,0.0218,4.8647,14,12,85.15,85.81,0.0396,3.3883,23.0,1.3213,0.009994,0.009994,1.5453,0.078084,0.046817,0.6922,0.061605,0.003846,0.0254,0.01,0.117751,0.025385
Zone_DH745,382,875,0.006012,0.0341,0.026,4.5812,6,6,97.91,97.91,0.0157,3.7446,27.0,1.3814,0.006215,0.006215,1.7255,0.061029,0.043185,0.7299,0.051396,0.002674,0.0185,0.0062,0.088261,0.018538
Zone_DH746,376,822,0.00583,0.0397,0.0337,4.3723,12,12,95.21,95.21,0.0319,3.9265,24.0,1.2377,0.006306,0.006306,1.7767,0.067842,0.04076,0.69,0.052582,0.002793,0.027,0.0063,0.093584,0.027002
Zone_DH747,474,1156,0.005156,0.0136,0.0105,4.8776,6,6,98.31,98.31,0.0127,3.1351,37.0,1.6995,0.005307,0.005307,1.6209,0.048106,0.045741,0.74,0.0461,0.002146,0.0107,0.0053,0.079506,0.01073
Zone_DH748,457,1199,0.005754,0.0209,0.0186,5.2473,5,5,98.69,98.69,0.0109,2.2953,33.0,1.5437,0.005888,0.005888,1.5096,0.057933,0.037694,0.7142,0.046889,0.002217,0.0188,0.0059,0.09256,0.018847
Zone_DH749,326,884,0.008344,0.0212,0.0194,5.4233,9,8,93.87,94.17,0.0245,1.9782,23.0,1.2739,0.009155,0.009155,1.4279,0.075063,0.041491,0.6675,0.056903,0.003257,0.0206,0.0091,0.116313,0.02063
Zone_DH750,242,597,0.010236,0.0285,0.0303,4.9339,9,7,88.43,90.08,0.0289,3.0234,24.0,1.5428,0.011817,0.011817,1.9499,0.073991,0.05584,0.7012,0.067348,0.004587,0.026,0.0118,0.120948,0.025994
Zone_DH751,477,1136,0.005003,0.0254,0.0192,4.7631,16,11,93.92,95.6,0.0231,3.1869,26.0,1.1905,0.005369,0.005369,2.0467,0.060676,0.035159,0.7156,0.04657,0.002193,0.0201,0.0054,0.091944,0.020102
Zone_DH752,626,1472,0.003762,0.0255,0.0216,4.7029,17,12,96.96,98.24,0.0192,2.4756,37.0,1.4788,0.003898,0.003898,1.6712,0.046862,0.033312,0.7673,0.040098,0.001626,0.022,0.0039,0.07862,0.021951
Zone_DH753,708,1717,0.00343,0.0192,0.0153,4.8503,5,4,90.11,90.25,0.0056,1.3977,34.0,1.2778,0.003829,0.003829,1.6374,0.049864,0.031845,0.7258,0.039318,0.001565,0.0154,0.0038,0.073007,0.015389
Zone_DH754,659,1725,0.003978,0.0192,0.0195,5.2352,21,9,92.87,98.79,0.0137,1.7275,37.0,1.4413,0.004077,0.004077,1.5096,0.046307,0.028538,0.7302,0.038947,0.001536,0.0197,0.0041,0.073717,0.020225
Zone_DH755,512,1385,0.005294,0.0289,0.0266,5.4102,18,2,95.31,99.41,0.0039,2.6734,32.0,1.4142,0.005341,0.005341,1.4743,0.053686,0.033599,0.6881,0.044068,0.001965,0.0267,0.0053,0.088555,0.028029
Zone_DH756,309,729,0.00766,0.0533,0.0429,4.7184,18,3,92.23,99.03,0.0097,3.3811,29.0,1.6498,0.00779,0.00779,1.6836,0.057944,0.049364,0.6833,0.056839,0.003268,0.0434,0.0078,0.104366,0.045534
Zone_DH757,84,176,0.025244,0.0,0.0,4.1905,13,10,38.1,38.1,0.119,3.4859,11.9,1.2984,0.090726,0.090726,1.0667,0.173126,0.166801,0.2904,0.176509,0.03125,0.0,0.0879,0.287221,0.0
Zone_DH758,70,142,0.0294,0.0826,0.0571,4.0571,5,5,82.86,82.86,0.0714,3.7426,14.0,1.6733,0.038113,0.038113,1.8413,0.131165,0.125533,0.6565,0.13061,0.017241,0.069,0.0375,0.19616,0.073276
Zone_DH759,86,176,0.024077,0.0629,0.0271,4.093,4,4,96.51,96.51,0.0465,3.8124,19.0,2.0488,0.02586,0.02586,1.8864,0.097363,0.119288,0.6953,0.109113,0.012048,0.0281,0.0255,0.157691,0.03012
Zone_DH760,142,292,0.014584,0.0652,0.034,4.1127,6,6,94.37,94.37,0.0423,3.9198,22.0,1.8462,0.016048,0.016048,1.8741,0.081918,0.090674,0.7249,0.085922,0.007463,0.0361,0.0159,0.126364,0.037313
