zone_id,node_count,edge_count,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency
Zone_DH569,1632,3657,0.001374,0.06,0.0466,4.4816,24,7,98.04,99.39,0.0043,3.9144,42.0,1.0397,0.001388,0.001388,2.2225,0.037277,0.016193,0.7109,0.024709,0.000617,0.0469,0.0014,0.058943,0.047565
Zone_DH570,1489,3209,0.001448,0.0502,0.0367,4.3103,31,12,95.77,98.39,0.0081,3.922,39.0,1.0107,0.001483,0.001483,2.3027,0.039166,0.016257,0.6512,0.025997,0.000683,0.0373,0.0015,0.063876,0.037463
Zone_DH571,1696,3603,0.001253,0.0424,0.0296,4.2488,32,11,97.52,99.35,0.0065,3.9286,35.0,0.8499,0.001269,0.001269,2.3396,0.041248,0.013681,0.7348,0.024245,0.000593,0.0298,0.0013,0.063485,0.029832
Zone_DH572,1567,3332,0.001358,0.0376,0.0252,4.2527,50,19,91.58,98.21,0.0121,3.9086,37.0,0.9347,0.001399,0.001399,2.3234,0.038836,0.014722,0.7413,0.02536,0.00065,0.0257,0.0014,0.059047,0.025666
Zone_DH573,1348,2975,0.001638,0.0451,0.0309,4.4139,33,6,96.74,99.63,0.0045,3.8181,45.0,1.2257,0.001651,0.001651,2.2571,0.035653,0.020145,0.7371,0.027139,0.000745,0.031,0.0016,0.058453,0.03105
Zone_DH574,1285,3083,0.001869,0.038,0.0296,4.7984,29,7,93.85,99.22,0.0054,3.5869,45.0,1.2553,0.001893,0.001893,1.6585,0.036717,0.019166,0.7476,0.027863,0.000784,0.0298,0.0019,0.058871,0.02983
Zone_DH575,1267,3220,0.002007,0.0332,0.0276,5.0829,15,7,98.58,99.29,0.0055,3.3928,37.0,1.0395,0.002032,0.002032,1.5657,0.041765,0.018798,0.6859,0.02807,0.000795,0.0278,0.002,0.062092,0.028573
Zone_DH576,1089,2712,0.002289,0.034,0.0279,4.9807,23,8,96.69,98.53,0.0073,3.5151,37.0,1.1212,0.002343,0.002343,1.5926,0.043115,0.020253,0.6878,0.030394,0.000932,0.0283,0.0023,0.065405,0.02915
Zone_DH577,805,1886,0.002914,0.0506,0.0397,4.6857,35,11,86.83,94.66,0.0137,3.7138,39.0,1.3746,0.003137,0.003137,1.6756,0.041749,0.027138,0.705,0.036053,0.001312,0.042,0.0031,0.072385,0.042746
Zone_DH578,633,1393,0.003482,0.0729,0.0581,4.4013,27,8,89.57,95.42,0.0126,3.8036,31.0,1.2321,0.003707,0.003707,1.7896,0.047771,0.029855,0.7038,0.04049,0.001656,0.0609,0.0037,0.08588,0.061286
Zone_DH579,587,1256,0.003651,0.0747,0.0578,4.2794,21,12,86.37,92.67,0.0204,3.9138,28.0,1.1557,0.004035,0.004035,1.8255,0.052613,0.030622,0.7031,0.042644,0.001838,0.0624,0.004,0.088428,0.06299
Zone_DH580,379,828,0.00578,0.0685,0.0486,4.3694,25,14,59.37,64.64,0.0369,3.8637,22.0,1.1301,0.008665,0.008665,1.8919,0.066204,0.048673,0.7106,0.06353,0.004082,0.0535,0.0086,0.106736,0.05483
Zone_DH581,310,627,0.006546,0.0564,0.0423,4.0452,21,12,36.13,50.32,0.0387,3.9282,26.0,1.4767,0.012407,0.012407,2.08,0.056095,0.068953,0.5576,0.079727,0.00641,0.0385,0.0123,0.143636,0.038462
Zone_DH582,345,734,0.006185,0.0531,0.0401,4.2551,22,8,67.83,97.68,0.0232,3.7197,31.0,1.669,0.006465,0.006465,1.8415,0.042603,0.035276,0.6763,0.054229,0.002967,0.041,0.0064,0.095365,0.041048
Zone_DH583,660,1612,0.003706,0.0312,0.026,4.8848,17,6,97.12,99.09,0.0091,3.6223,35.0,1.3624,0.00377,0.00377,1.6248,0.051239,0.028323,0.7003,0.038909,0.001529,0.0262,0.0038,0.082903,0.026249
Zone_DH584,906,2339,0.002853,0.0225,0.0243,5.1634,11,5,98.01,98.79,0.0055,3.2455,29.0,0.9635,0.002906,0.002906,1.5398,0.055826,0.019419,0.6832,0.033282,0.001117,0.0246,0.0029,0.080206,0.024581
Zone_DH585,997,2536,0.002554,0.0238,0.0197,5.0873,21,7,83.55,99.1,0.007,3.2439,29.0,0.9184,0.002594,0.002594,1.5621,0.047999,0.015209,0.7385,0.031676,0.001012,0.0199,0.0026,0.0734,0.019906
Zone_DH586,812,1993,0.003026,0.0344,0.0279,4.9089,19,9,94.33,96.92,0.0111,3.5594,38.0,1.3335,0.003154,0.003154,1.6135,0.04465,0.026518,0.7659,0.035477,0.001271,0.0288,0.0031,0.076463,0.028801
Zone_DH587,493,1195,0.004927,0.0304,0.0264,4.8479,19,12,88.24,94.52,0.0243,3.6743,26.0,1.171,0.005358,0.005358,1.6055,0.062664,0.028871,0.66,0.046117,0.002146,0.0243,0.0053,0.097994,0.02432
