zone_id,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency
Zone_DH009,0.932835452500335,0.5,0.46894689468946893,0.5098453454673492,0.0196078431372549,0.038461538461538464,0.922791846819024,0.9138643880926131,0.2637409458883681,0.49570262140094534,0.3074566675714452,0.4553952742255382,0.4553952742255382,0.18531659388646285,0.6041826367670399,0.6279891915405005,0.5125628140703518,0.6108145506936923,0.3983370034776121,0.5555,0.509938561619082,0.6542432499918577,0.555555
Zone_DH010,0.535024435652781,0.5716,0.4446444644464446,0.5098453454673492,0.0392156862745098,0.07692307692307693,0.908462013588635,0.8978776185226021,0.23412867490413292,0.6424939120469847,0.39745627980922094,0.2676494222949892,0.2676494222949892,0.17587336244541488,0.3887865602833051,0.5870187894672817,0.601662156938539,0.46051629153213486,0.2378915321949869,0.5335,0.30827611131189014,0.46703072018180963,0.533335
Zone_DH011,0.6235358001706617,0.48,0.22502250225022502,0.3473362043281601,0.058823529411764705,0.11538461538461539,0.8147004323656578,0.7932745314222712,0.42351938645078824,0.7699111875089528,0.3327387645895537,0.3729876633871361,0.3729876633871361,0.5094432314410481,0.5126979842584295,0.6638908242371964,0.6115191341321995,0.5700792420952253,0.3511485746603612,0.294,0.4210336104083845,0.5823227772289231,0.29412
Zone_DH012,0.6641843146381196,0.0,0.0,0.45824869315565664,0.0392156862745098,0.07692307692307693,0.4117356392835083,0.34371554575523705,0.30187473370259904,0.7151912333476579,0.0642909767730428,0.6534341771428056,0.6534341771428056,0.16828602620087338,0.7973245808186048,0.6108843988808158,0.3571704677232316,0.7231424232844269,0.5441921470945693,0.0,0.7126852186483557,0.8250896563204541,0.0
Zone_DH013,0.543754980571364,0.4212,0.4000900090009001,0.6542888870832316,0.0196078431372549,0.038461538461538464,0.9588634959851761,0.9541069459757442,0.1395398380911802,0.7075991978226616,0.2921788359378029,0.24882096411577576,0.24882096411577576,0.34890829694323144,0.41058507249975706,0.4542428364464793,0.3218013142636258,0.4238545137935146,0.20469778467684677,0.45999999999999996,0.28839898807372605,0.4698009285897812,0.45976999999999996
Zone_DH014,0.4310900487302628,0.4212,0.25697569756975697,0.5717613282413803,0.0392156862745098,0.07692307692307693,0.8234712785670166,0.8030595369349504,0.18001704303365995,0.77875662512534,0.2501454108340766,0.23201800982956272,0.23201800982956272,0.14017467248908294,0.3752345580375941,0.4942584666880477,0.5206803247004251,0.41566080859069315,0.19777866021683932,0.33349999999999996,0.26924466931694974,0.43569171977288274,0.333335
Zone_DH015,0.2510419531597097,0.3564,0.2524752475247525,0.5383656997372768,0.058823529411764705,0.07692307692307693,0.9132798023471279,0.9516262403528114,0.10950149126544524,0.7985603781693167,0.29078289193066814,0.11534236433186963,0.11534236433186963,0.4441048034934499,0.25586206151952584,0.3419299661959162,0.6030150753768846,0.29247536964960374,0.10662069961373234,0.291,0.1358872425009035,0.31187009875765836,0.310605
Zone_DH016,0.16994238404524648,0.1568,0.05895589558955896,0.4892879391132418,0.09803921568627451,0.11538461538461539,0.8123533045089562,0.9476295479603087,0.10524073285044737,0.7756410256410257,0.29295436038621114,0.07862145348714723,0.07862145348714723,0.4883187772925765,0.19589941805853964,0.25360804220165223,0.6312330885195208,0.24061559032510507,0.07639315066844758,0.06799999999999999,0.09288037585833032,0.2744532864333974,0.07675499999999999
Zone_DH017,0.13194547288100927,0.2884,0.25607560756075604,0.5507163944638552,0.11764705882352941,0.11538461538461539,0.9184681902408895,0.9349503858875413,0.07775884107371112,0.8170032946569259,0.4413897398115476,0.061740247936122886,0.061740247936122886,0.42931222707423583,0.13146046792843957,0.3111450257862122,0.6140316969462698,0.20145061232528128,0.05679698687171341,0.2985,0.07336465486086013,0.20182895274903828,0.30528
Zone_DH018,0.12628260731588634,0.3396,0.31863186318631864,0.5769616207578342,0.23529411764705882,0.11538461538461539,0.5518221124150711,0.804851157662624,0.07285896889646357,0.8629494341784844,0.3459226802124937,0.06659182635442407,0.06659182635442407,0.39825327510917036,0.11987562215912158,0.2123795936874468,0.594897564746811,0.20668504765409193,0.05925177189752476,0.32649999999999996,0.07914709071196241,0.20390796611334874,0.32646
Zone_DH019,0.0930458882518459,0.284,0.27362736273627364,0.6461092603125592,0.23529411764705882,0.0,0.46386658431130323,1.0,0.010864933958244567,0.7743518120613092,0.3408429950754198,0.03966737193127132,0.03966737193127132,0.3874454148471616,0.06790036816704635,0.10642941139606812,0.7558948589099344,0.14913994599721175,0.03506491943732477,0.304,0.04734369353089989,0.15152551450604887,0.30398499999999995
Zone_DH020,0.06748189363967814,0.1484,0.11746174617461747,0.6696189160640286,0.17647058823529413,0.038461538461538464,0.8975911056207535,0.9936604189636165,0.017043033659991477,0.6519123334765793,0.27860715809065884,0.029055296557245314,0.029055296557245314,0.3647379912663756,0.09604517334081905,0.14158270941390283,0.7037108620023192,0.1200655081807487,0.025083330325018346,0.131,0.03469461510661366,0.13515396279126995,0.13117499999999999
Zone_DH021,0.06700940049788083,0.2076,0.18226822682268226,0.6904200861298446,0.1568627450980392,0.07692307692307693,0.9499691167387276,0.9875964718853362,0.026203664252236896,0.6488325454805901,0.2983442553026484,0.02913655748608783,0.02913655748608783,0.3450327510917031,0.09368501743665042,0.15165757974556623,0.5458059528411288,0.11862215150839842,0.024571916777974323,0.2045,0.03469461510661366,0.14762804297713267,0.204545
Zone_DH022,0.06080352042651321,0.1612,0.1512151215121512,0.7475149643834132,0.21568627450980393,0.038461538461538464,0.8925262507720815,0.9944873208379271,0.014273540690242864,0.7063457957312705,0.5059133739191128,0.02613893211100845,0.02613893211100845,0.3094978165938865,0.0514073482255644,0.18976366632383357,0.6233088519520681,0.10726705467134484,0.021100321288040142,0.16849999999999998,0.03108059269967474,0.105819789891182,0.16865
Zone_DH023,0.0654508783435942,0.1936,0.18496849684968494,0.7591614528317217,0.2549019607843137,0.07692307692307693,0.7725756639901175,0.9250275633958104,0.024286322965487855,0.7467411545623835,0.27763775253014855,0.030280229817945425,0.030280229817945425,0.2895742358078603,0.08790663024584057,0.1260778046883352,0.631812910707383,0.11623037734577849,0.023849921182147456,0.21749999999999997,0.03614022406938923,0.12516963229147443,0.21755
Zone_DH024,0.05979506491491597,0.162,0.162016201620162,0.831288426640665,0.0196078431372549,0.038461538461538464,0.9954292773316862,0.9949007717750826,0.012995313165743502,0.7891419567397221,0.3594555818372175,0.025687482506327824,0.025687482506327824,0.25655021834061137,0.07809891925157363,0.1464008051048959,0.7582141476613838,0.10111529750768322,0.019343465338194768,0.181,0.03071919045898084,0.10540181592498905,0.186885
Zone_DH025,0.08313763654699191,0.1932,0.18676867686768678,0.762438720511362,0.11764705882352941,0.23076923076923078,0.8911673872760963,0.8785832414553473,0.07477631018321261,0.7980232058444349,0.3398735895149094,0.0409464791445331,0.0409464791445331,0.26790393013100444,0.12150592198313558,0.19532272393823105,0.5761499806725938,0.13911677973392483,0.03141282504843387,0.22749999999999998,0.04878930249367546,0.15165398269479213,0.23674
Zone_DH026,0.12109223489256069,0.2104,0.22547254725472546,0.7297743831423851,0.0392156862745098,0.07692307692307693,0.9814700432365658,0.9793274531422271,0.0455901150404772,0.8601561380890989,0.4655085501570437,0.05333124663293837,0.05333124663293837,0.31157205240174674,0.11062717958130446,0.292823728476162,0.8061461151913414,0.17000253947852587,0.04315728674055088,0.2545,0.06324539212143114,0.15793625806545,0.254455
Zone_DH027,0.2126360180816778,0.218,0.2686768676867687,0.5421846645540477,0.11764705882352941,0.23076923076923078,0.6865966646077826,0.6503583241455346,0.22006817213463992,0.8692880676120899,0.29427275194850516,0.1392782223720366,0.1392782223720366,0.35884279475982533,0.25620323684693536,0.41294066037770627,0.66988790104368,0.30944323228972864,0.11755893289050935,0.39999999999999997,0.1637152150343332,0.31707939334064333,0.39999999999999997
Zone_DH028,0.133955331767759,0.1312,0.117011701170117,0.7407437501692803,0.09803921568627451,0.19230769230769232,0.8177887584928969,0.7967199558985667,0.10225820195994886,0.8297521845007878,0.21730195044398778,0.06983022485199977,0.06983022485199977,0.29110262008733634,0.1975577892702519,0.22596389561652824,0.584460765365288,0.19731489015459722,0.05507623070165939,0.072,0.08276111311890134,0.23064020583860775,0.072115
Zone_DH029,0.09994992983124236,0.2296,0.15751575157515751,0.7134151296010399,0.27450980392156865,0.07692307692307693,0.630142063001853,0.5873759647188534,0.03813378781423093,0.9048488755192665,0.15906006436852924,0.06756695750053421,0.06756695750053421,0.2694323144104804,0.19880804569158184,0.20670257198574113,0.5775028991109392,0.19033650681772243,0.05192351659988207,0.144,0.0802312974340441,0.22806360441930573,0.14393999999999998
Zone_DH030,0.09085972595397775,0.3092,0.25742574257425743,0.717694536984372,0.27450980392156865,0.07692307692307693,0.5906114885731933,0.7115490628445423,0.03451214316148274,0.9012319151983955,0.287564465469774,0.05185952092167952,0.05185952092167952,0.3014737991266376,0.11640556677211432,0.16739841264575017,0.607267104754542,0.1656517390245293,0.041466613720322974,0.3615,0.061799783158655586,0.17822337542023572,0.37071
Zone_DH031,0.09936460250632928,0.3796,0.36273627362736277,0.8950461796809404,0.058823529411764705,0.038461538461538464,0.8764669549104386,0.9541069459757442,0.021090754154239454,0.8779902592751755,0.36166582651518087,0.04467244321516389,0.04467244321516389,0.21086244541484722,0.10953455479858779,0.18096428268618975,0.5834943950521841,0.14042279726150925,0.03180390599617342,0.4165,0.053126129382002174,0.15241574477170658,0.42863999999999997
Zone_DH032,0.157029922214935,0.2284,0.20972097209720972,0.9046342190081526,0.0196078431372549,0.038461538461538464,0.9372452130945028,0.9299889746416758,0.03344695355773327,0.8903094112591319,0.22556128581953547,0.07182864176871936,0.07182864176871936,0.20660480349344984,0.20074065276773087,0.19639177347946135,0.5231928875144957,0.18855368924038496,0.0509488225455158,0.24549999999999997,0.08529092880375858,0.23031632125008597,0.252975
Zone_DH033,0.53852229532937,0.2,0.09675967596759674,0.6845968419056905,0.0,0.0,1.0,1.0,0.06625479335321688,0.8044692737430167,0.21330799953468538,0.22978483911840922,0.22978483911840922,0.3578056768558952,0.44811867718983817,0.3811640843590679,0.5164282953227677,0.4078247034251865,0.19131078300422363,0.10749999999999998,0.26671485363209246,0.48345655422986045,0.107525
