zone_id,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,b_10,b_11,b_12,b_13,b_14,b_15,b_16,b_17,b_18,b_19,b_20,b_21,b_22,b_23,b_24,b_25,b_26,b_27,b_28,b_29,b_30,b_31,b_32,b_33,b_34,b_35,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28,a_29,a_30,a_31,a_32,a_33,a_34,a_35,l_0,l_1,l_2,l_3,l_4,l_5,l_6,l_7,l_8,l_9,l_10,l_11,l_12,l_13,l_14,l_15,l_16,l_17,l_18,l_19,l_20,l_21,l_22,l_23,l_24,l_25,l_26,l_27,l_28,l_29,l_30,l_31,l_32,l_33,l_34,l_35,l_36,l_37,l_38,l_39
Zone_DH434,0.048378,0.044865,0.081892,0.13027,0.020811,0.009459,0.007027,0.007568,0.008649,0.008649,0.006757,0.01027,0.010811,0.011622,0.013514,0.017838,0.026216,0.017838,0.045946,0.041351,0.087297,0.124324,0.032703,0.013784,0.005946,0.007027,0.008378,0.009189,0.014324,0.01027,0.011622,0.012432,0.018378,0.015405,0.028108,0.031081,0.208525,0.000846,0.001209,0.002358,0.002721,0.002418,0.002358,0.002721,0.005079,0.005502,0.005441,0.007316,0.008888,0.010883,0.013724,0.017352,0.027751,0.133676,0.1448,0.034099,0.020677,0.018501,0.016385,0.010762,0.009553,0.009311,0.011185,0.009794,0.00659,0.006046,0.008767,0.009674,0.012878,0.016143,0.033615,0.162455,0.103243,0.122432,0.121351,0.174054,0.100541,0.086486,0.059459,0.042162,0.035676,0.029189,0.027297,0.016486,0.018919,0.013784,0.010541,0.004595,0.008108,0.005676,0.002703,0.003514,0.003784,0.002973,0.000541,0.00027,0.0,0.00027,0.0,0.000541,0.000811,0.000541,0.000541,0.0,0.000811,0.0,0.0,0.0,0.0,0.0,0.00027,0.002432
Zone_DH435,0.056639,0.056639,0.07637,0.048747,0.024141,0.017642,0.009285,0.011374,0.013463,0.009053,0.006732,0.010214,0.013695,0.015088,0.015088,0.01857,0.030176,0.04039,0.057799,0.059656,0.083101,0.064763,0.031801,0.017177,0.008589,0.008357,0.008589,0.011374,0.012999,0.011606,0.011374,0.013928,0.022981,0.018338,0.031337,0.052925,0.219411,0.000919,0.001622,0.001622,0.002325,0.00173,0.003785,0.003028,0.00438,0.006488,0.006867,0.008002,0.008273,0.013031,0.018654,0.026602,0.04531,0.091917,0.099162,0.048013,0.034982,0.026386,0.018167,0.012922,0.01103,0.01276,0.011246,0.010868,0.010652,0.010003,0.010003,0.011625,0.019735,0.026872,0.046661,0.11495,0.110724,0.151346,0.148329,0.140669,0.104225,0.082637,0.06546,0.044568,0.034819,0.018802,0.022284,0.014856,0.015088,0.011374,0.0065,0.00441,0.003946,0.004875,0.001857,0.003018,0.00325,0.002553,0.0,0.0,0.000464,0.000232,0.000464,0.0,0.001161,0.000929,0.000464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,0.000464
Zone_DH436,0.060925,0.069806,0.05886,0.038414,0.030979,0.021685,0.023544,0.01487,0.013837,0.009913,0.004957,0.005783,0.014663,0.013631,0.013837,0.022098,0.026848,0.041925,0.06898,0.072491,0.053284,0.047914,0.041512,0.022511,0.022718,0.010946,0.007435,0.011152,0.007848,0.009913,0.009913,0.011152,0.020653,0.019413,0.025196,0.050392,0.220189,0.000375,0.000469,0.000939,0.001408,0.001783,0.004317,0.00291,0.003754,0.005162,0.007555,0.008494,0.01023,0.013985,0.020742,0.028345,0.050401,0.077807,0.085222,0.053029,0.037965,0.028251,0.018678,0.015909,0.012389,0.012483,0.01131,0.013187,0.0107,0.013891,0.011638,0.01619,0.021869,0.028204,0.051152,0.099066,0.09872,0.14209,0.155721,0.143742,0.12247,0.087154,0.065056,0.053903,0.033664,0.024577,0.020033,0.014457,0.009913,0.006815,0.007641,0.00475,0.001033,0.001859,0.000826,0.001033,0.001239,0.0,0.001239,0.0,0.0,0.0,0.000413,0.0,0.000826,0.000413,0.0,0.0,0.0,0.0,0.000413,0.0,0.0,0.0,0.0,0.0
Zone_DH437,0.033333,0.068199,0.078161,0.03908,0.027011,0.021073,0.045785,0.030268,0.010153,0.006513,0.006705,0.02567,0.017241,0.011303,0.009195,0.016667,0.011111,0.023563,0.04272,0.062644,0.093103,0.040613,0.033908,0.022989,0.045785,0.045019,0.00728,0.010153,0.007663,0.020498,0.013602,0.007854,0.010153,0.013793,0.011686,0.029502,0.210107,0.000254,0.000593,0.001017,0.000678,0.000593,0.002542,0.001949,0.002965,0.002796,0.004956,0.006058,0.007879,0.009997,0.015377,0.021265,0.041132,0.126912,0.135002,0.044648,0.025247,0.019316,0.013132,0.013598,0.009701,0.009192,0.008684,0.00826,0.007074,0.009828,0.007964,0.011988,0.015589,0.020079,0.039903,0.143729,0.090421,0.157854,0.157854,0.149617,0.100958,0.074713,0.069923,0.063985,0.03295,0.026628,0.021456,0.016284,0.011686,0.006705,0.006897,0.003831,0.001916,0.001916,0.000766,0.000766,0.000766,0.000575,0.000766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383,0.0,0.0,0.000383,0.0,0.0,0.0,0.0,0.0
Zone_DH438,0.023928,0.069678,0.137634,0.04709,0.013974,0.012825,0.036945,0.025077,0.00536,0.006126,0.004786,0.022205,0.013974,0.0067,0.008614,0.010337,0.0067,0.013974,0.027565,0.067956,0.183767,0.042305,0.025842,0.015123,0.032925,0.041539,0.003446,0.004594,0.007274,0.016271,0.011677,0.005934,0.006508,0.012634,0.008231,0.020482,0.202933,0.000164,0.000819,0.000655,0.000737,0.001966,0.000737,0.001393,0.000983,0.001229,0.002786,0.004383,0.005489,0.00721,0.009381,0.013436,0.031829,0.16963,0.182246,0.035024,0.016672,0.011797,0.007455,0.009913,0.006759,0.005366,0.004465,0.00467,0.003973,0.007251,0.003687,0.007005,0.007128,0.010773,0.025807,0.194249,0.085758,0.158308,0.172473,0.152757,0.090735,0.066807,0.068721,0.05915,0.035222,0.031394,0.019525,0.019334,0.015888,0.01072,0.003828,0.003446,0.002297,0.000957,0.000383,0.000191,0.000383,0.000574,0.000766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zone_DH439,0.052897,0.14254,0.141732,0.034323,0.005047,0.003836,0.001817,0.001817,0.001211,0.002019,0.000606,0.000808,0.004644,0.002221,0.007268,0.010095,0.008278,0.037755,0.066021,0.149203,0.188573,0.034323,0.007268,0.006057,0.004038,0.003028,0.001615,0.00323,0.00323,0.003836,0.002019,0.002423,0.005855,0.010902,0.00747,0.041995,0.193196,0.000489,0.001344,0.001141,0.000407,0.001793,0.001141,0.001385,0.000652,0.000815,0.00277,0.003056,0.002282,0.004767,0.005174,0.009574,0.024037,0.201589,0.208433,0.028193,0.011204,0.008759,0.004482,0.005541,0.0033,0.004563,0.002404,0.002852,0.003626,0.00493,0.002526,0.004359,0.004604,0.007089,0.020411,0.217111,0.073491,0.140925,0.183121,0.147991,0.088633,0.072078,0.063396,0.061983,0.037957,0.028468,0.016959,0.021805,0.018978,0.014739,0.006865,0.009085,0.004644,0.002221,0.000808,0.002423,0.000606,0.000606,0.000808,0.0,0.000606,0.0,0.000202,0.000202,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,0.0,0.0,0.0,0.0,0.000202
Zone_DH440,0.097006,0.168969,0.086931,0.020438,0.004318,0.002879,0.002015,0.003742,0.002303,0.001727,0.000864,0.000576,0.00403,0.00806,0.005469,0.006621,0.009787,0.050662,0.107081,0.173575,0.107081,0.016695,0.011514,0.004606,0.004606,0.006333,0.004318,0.003742,0.00403,0.001439,0.004893,0.001727,0.003166,0.007484,0.00806,0.053253,0.193326,0.000992,0.000992,0.001517,0.000583,0.001283,0.001167,0.003384,0.001167,0.000467,0.0035,0.004259,0.004375,0.005367,0.005775,0.009217,0.021993,0.194435,0.20721,0.022926,0.012192,0.008867,0.003734,0.008517,0.003325,0.006067,0.002158,0.003267,0.00455,0.004142,0.003208,0.003675,0.006592,0.009042,0.020884,0.215844,0.062752,0.104491,0.151986,0.17962,0.114853,0.0616,0.055843,0.054692,0.04692,0.028785,0.015256,0.021877,0.01871,0.018135,0.007772,0.01871,0.012666,0.004318,0.001727,0.005757,0.002015,0.000864,0.001151,0.000576,0.001727,0.0,0.000864,0.001151,0.000576,0.0,0.000576,0.0,0.000576,0.000576,0.000288,0.0,0.0,0.000576,0.0,0.002015
Zone_DH441,0.120907,0.114358,0.032746,0.011587,0.005542,0.001008,0.003526,0.005542,0.004534,0.002015,0.002519,0.002519,0.002015,0.013602,0.003526,0.022166,0.100756,0.03073,0.144081,0.112846,0.039295,0.009068,0.005038,0.001008,0.009068,0.009572,0.008564,0.002519,0.00403,0.0,0.008564,0.00403,0.007053,0.020655,0.087657,0.047355,0.199146,0.000641,0.001388,0.002456,0.001175,0.001708,0.001815,0.004058,0.001815,0.001708,0.002136,0.004485,0.006514,0.004378,0.00598,0.009183,0.022104,0.190603,0.191671,0.021783,0.009717,0.00929,0.004271,0.013775,0.005446,0.004698,0.005125,0.004805,0.005873,0.008222,0.006727,0.004698,0.009503,0.013027,0.021249,0.198825,0.060453,0.071537,0.088161,0.179345,0.153652,0.040806,0.042317,0.048363,0.043829,0.04131,0.025693,0.038791,0.015113,0.022166,0.011587,0.01864,0.020655,0.008564,0.003526,0.020655,0.009572,0.002015,0.00806,0.001008,0.003526,0.002015,0.002015,0.002519,0.002015,0.001008,0.002015,0.0,0.001008,0.002015,0.0,0.0,0.0,0.001008,0.0,0.005038
Zone_DH442,0.089123,0.022456,0.02386,0.010526,0.004912,0.0,0.004211,0.004912,0.007018,0.001404,0.004211,0.003509,0.004211,0.016842,0.004912,0.044912,0.249123,0.014737,0.092632,0.02386,0.024561,0.009123,0.004211,0.0,0.009123,0.004912,0.003509,0.002105,0.007018,0.001404,0.007018,0.006316,0.002807,0.051228,0.210526,0.028772,0.196545,0.001245,0.002179,0.001556,0.00249,0.002646,0.002646,0.002646,0.003268,0.001245,0.002801,0.003424,0.005291,0.005135,0.007158,0.007781,0.020075,0.190632,0.200747,0.014472,0.009804,0.007003,0.004202,0.012605,0.004046,0.004357,0.006536,0.00498,0.005913,0.008092,0.008403,0.006536,0.009026,0.012138,0.01883,0.203548,0.069474,0.044211,0.060351,0.178246,0.218246,0.024561,0.021053,0.037895,0.036491,0.045614,0.032281,0.044211,0.007018,0.021053,0.009825,0.011228,0.024561,0.013333,0.008421,0.037193,0.012632,0.004912,0.008421,0.001404,0.004211,0.002807,0.002807,0.001404,0.001404,0.0,0.003509,0.0,0.001404,0.001404,0.0,0.0,0.0,0.0,0.000702,0.007719
Zone_DH443,0.013784,0.004824,0.005513,0.002757,0.003446,0.001378,0.004135,0.003446,0.009649,0.004135,0.004824,0.007581,0.002757,0.008959,0.008959,0.052378,0.385941,0.006892,0.010338,0.002757,0.002068,0.004135,0.001378,0.002068,0.00827,0.004135,0.005513,0.003446,0.005513,0.002757,0.004824,0.004824,0.001378,0.06754,0.320469,0.017229,0.191319,0.00094,0.006738,0.00188,0.001567,0.00282,0.00141,0.000627,0.004074,0.003134,0.004387,0.003134,0.002664,0.004544,0.008148,0.010655,0.010028,0.195707,0.22015,0.012065,0.010185,0.005327,0.007835,0.004857,0.005954,0.008461,0.009401,0.006581,0.004701,0.004387,0.005798,0.004387,0.004074,0.010655,0.011438,0.209966,0.066161,0.035148,0.053756,0.144039,0.242591,0.026189,0.026189,0.031702,0.057891,0.048932,0.034459,0.039283,0.005513,0.013784,0.005513,0.015851,0.006203,0.022054,0.015162,0.046175,0.013784,0.009649,0.002757,0.004135,0.010338,0.002757,0.002068,0.0,0.002068,0.0,0.000689,0.001378,0.002757,0.0,0.0,0.0,0.0,0.001378,0.000689,0.008959
