grid_score,orientation_deg,null_mean,null_p95,excess,z_vs_null,angular_entropy,ink_fraction,zone_id,zone_prior,row,col,patch_id,valid
0.3580384357216603,4,0.27337753737171755,0.3492006732817609,0.08466089834994273,2.3619831171813006,0.8927910574381996,0.086669921875,Zone_DH168,grid-leaning,0,0,Zone_DH168_r0c0,True
0.16248819174008586,41,0.2969156822814037,0.36972268662838326,-0.13442749054131783,-3.3520604910199765,0.8556209260031065,0.06866455078125,Zone_DH168,grid-leaning,0,1,Zone_DH168_r0c1,True
0.3826655771409819,80,0.2757608029406462,0.30732070493962454,0.10690477420033573,5.565801905524671,0.9275514543915855,0.0499267578125,Zone_DH168,grid-leaning,0,2,Zone_DH168_r0c2,True
0.22865091978408456,31,0.3037166001572915,0.5034243723983289,-0.07506568037320696,-0.646597815728449,0.6635236390148608,0.07110595703125,Zone_DH168,grid-leaning,0,3,Zone_DH168_r0c3,True
0.35240843278054323,28,0.30300967937380974,0.37209170877134046,0.0493987534067335,1.2336246646503373,0.8180996759653996,0.06817626953125,Zone_DH168,grid-leaning,0,4,Zone_DH168_r0c4,True
0.43629756237661904,80,0.26940928211077564,0.3026913670712945,0.1668882802658434,9.703275879880831,0.9404141725694649,0.06439208984375,Zone_DH168,grid-leaning,1,0,Zone_DH168_r1c0,True
0.37915039262906336,80,0.2781744903028496,0.32055007799906143,0.10097590232621378,4.274224518790464,0.923626679700314,0.0657958984375,Zone_DH168,grid-leaning,1,1,Zone_DH168_r1c1,True
0.207083246217415,1,0.2631170485406336,0.3338490993261518,-0.05603380232321861,-1.5511968274593244,0.8134833270358838,0.05340576171875,Zone_DH168,grid-leaning,1,2,Zone_DH168_r1c2,True
0.19997230471504548,78,0.2840735966113689,0.3392200824052505,-0.0841012918963234,-2.646505145929254,0.9008241334784616,0.05364990234375,Zone_DH168,grid-leaning,1,3,Zone_DH168_r1c3,True
0.44859180714170915,11,0.2792988912016619,0.36253910291435065,0.16929291594004725,4.101790906176252,0.8690249618366507,0.04638671875,Zone_DH168,grid-leaning,1,4,Zone_DH168_r1c4,True
0.4414485401416503,20,0.28117883855808956,0.3403806209372941,0.16026970158356074,4.927377920454827,0.8921854788893423,0.07342529296875,Zone_DH168,grid-leaning,2,0,Zone_DH168_r2c0,True
