zone_id,cluster_id,cluster_label,confidence_score
Zone_DH152,0,Cluster_0,0.6967
Zone_DH153,1,Cluster_1,0.6805
Zone_DH154,1,Cluster_1,0.6825
Zone_DH155,1,Cluster_1,0.8542
Zone_DH156,1,Cluster_1,0.7544
Zone_DH157,1,Cluster_1,0.7692
Zone_DH158,1,Cluster_1,0.8086
Zone_DH159,1,Cluster_1,0.7294
Zone_DH160,1,Cluster_1,0.8492
Zone_DH161,1,Cluster_1,0.6773
Zone_DH162,1,Cluster_1,0.5402
Zone_DH163,1,Cluster_1,0.8171
Zone_DH164,1,Cluster_1,0.7332
Zone_DH165,0,Cluster_0,0.6796
Zone_DH166,0,Cluster_0,0.7862
Zone_DH167,0,Cluster_0,0.8601
Zone_DH168,0,Cluster_0,0.867
Zone_DH169,0,Cluster_0,0.8455
Zone_DH170,0,Cluster_0,0.7775
Zone_DH171,0,Cluster_0,0.7495
Zone_DH172,1,Cluster_1,0.6643
Zone_DH173,1,Cluster_1,0.8134
Zone_DH174,1,Cluster_1,0.7887
Zone_DH175,1,Cluster_1,0.67
Zone_DH176,1,Cluster_1,0.7156
Zone_DH177,1,Cluster_1,0.5332
Zone_DH178,1,Cluster_1,0.7012
Zone_DH179,1,Cluster_1,0.6932
Zone_DH180,1,Cluster_1,0.7693
Zone_DH181,1,Cluster_1,0.6625
Zone_DH182,0,Cluster_0,0.7649
Zone_DH183,0,Cluster_0,0.7888
Zone_DH184,1,Cluster_1,0.7633
Zone_DH185,1,Cluster_1,0.7661
Zone_DH186,1,Cluster_1,0.7737
Zone_DH187,1,Cluster_1,0.6172
Zone_DH188,1,Cluster_1,0.7187
Zone_DH189,0,Cluster_0,0.484
Zone_DH190,1,Cluster_1,0.5987
Zone_DH191,1,Cluster_1,0.7635
Zone_DH192,1,Cluster_1,0.8229
Zone_DH193,1,Cluster_1,0.8247
Zone_DH194,0,Cluster_0,0.4237
Zone_DH195,1,Cluster_1,0.6086
Zone_DH196,1,Cluster_1,0.7022
Zone_DH197,0,Cluster_0,0.464
Zone_DH198,1,Cluster_1,0.8025
Zone_DH199,1,Cluster_1,0.8252
Zone_DH200,1,Cluster_1,0.8198
Zone_DH201,1,Cluster_1,0.8271
Zone_DH202,1,Cluster_1,0.7923
Zone_DH203,1,Cluster_1,0.7603
Zone_DH204,1,Cluster_1,0.5471
Zone_DH205,1,Cluster_1,0.6466
Zone_DH206,1,Cluster_1,0.7503
Zone_DH207,1,Cluster_1,0.5319
Zone_DH208,1,Cluster_1,0.7865
Zone_DH209,1,Cluster_1,0.5762
Zone_DH210,1,Cluster_1,0.6546
Zone_DH211,1,Cluster_1,0.6159
Zone_DH212,0,Cluster_0,0.6599
Zone_DH213,1,Cluster_1,0.6879
Zone_DH214,1,Cluster_1,0.7102
Zone_DH216,1,Cluster_1,0.7712
Zone_DH217,1,Cluster_1,0.7867
Zone_DH218,1,Cluster_1,0.7631
Zone_DH219,1,Cluster_1,0.8319
Zone_DH220,1,Cluster_1,0.7457
Zone_DH221,0,Cluster_0,0.5513
Zone_DH222,0,Cluster_0,0.5538
Zone_DH224,1,Cluster_1,0.5287
Zone_DH225,1,Cluster_1,0.4392
Zone_DH226,1,Cluster_1,0.6977
Zone_DH227,1,Cluster_1,0.6357
Zone_DH228,1,Cluster_1,0.5929
Zone_DH229,0,Cluster_0,0.7407
Zone_DH230,0,Cluster_0,0.7047
Zone_DH231,0,Cluster_0,0.2856
Zone_DH232,0,Cluster_0,0.7405
