zone_id,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency,uffm_bearing_entropy,uffm_angle_entropy,uffm_length_entropy,uffm_dominant_bearing_deg,uffm_angle_p90,uffm_angle_p180,uffm_median_length_m
Zone_DH004,0.6905335191990876,0.6127450980392157,0.3013029315960912,0.3274175737498028,0.0392156862745098,0.0666666666666666,0.5663056206088994,0.5663056206088994,0.4497744977449775,0.5054017991649807,0.230609548971504,0.9275220372184132,0.9275220372184132,0.0,1.0,0.779947793466948,0.0302949061662197,0.9411015218510824,0.8942514601905932,0.3831026948288419,0.9330645161290324,1.0,0.3834614403846854,0.4408699158963871,0.6624050822412747,0.00022432721461837312,0.7714285714285715,0.1333031664901221,0.15133646008833843,0.4761904761904762
Zone_DH005,0.434391802596086,0.636437908496732,0.3705211726384365,0.3991165799021928,0.0392156862745098,0.0666666666666666,0.9334016393442623,0.9334016393442623,0.2738827388273883,0.8069125812421984,0.547398880291879,0.4007471015648133,0.4007471015648133,0.2861675514064312,0.5045499335612654,0.7053336375931565,0.4983914209115281,0.6086250066592084,0.4020220651022987,0.3466860888565186,0.4161290322580645,0.5866713362226211,0.3469381807584423,0.7270205042600629,0.8991027045153019,0.44629143534848825,0.7714285714285715,0.15684873042154737,0.25293702472565005,0.7619047619047618
Zone_DH006,0.3752285605662871,0.5212418300653595,0.512214983713355,0.4762580848714307,0.0392156862745098,0.0666666666666666,0.3095725995316159,0.3095725995316159,0.2263222632226322,0.848964834502647,0.1955085865257595,0.6378607384461198,0.6378607384461198,0.2397339679053023,0.7394444527389182,0.7237283701877321,0.4766756032171581,0.762390567009394,0.6053215834955767,0.6067006554989075,0.6532258064516129,0.7996527017758905,0.6071399949000037,0.794402915859495,0.8833445446879816,0.6977388450993631,0.5142857142857143,0.17315168094449643,0.3922237147670871,1.0
Zone_DH007,0.2434599996379238,0.5383986928104575,0.3745928338762215,0.6175264237261398,0.0392156862745098,0.0666666666666666,0.9663348946135834,0.9663348946135834,0.1357113571135711,0.8480609477897817,0.3809523809523809,0.2141691152464903,0.2141691152464903,0.1790225151015926,0.3971692620074949,0.3960850665939411,0.29142091152815,0.4067444462202333,0.1963145130990197,0.3430444282592862,0.225,0.4286593996702126,0.3428581836727259,0.8113792768090156,0.9308186507335027,0.9854345670940929,0.6285714285714287,0.16026563962277734,0.34179340649332907,0.5238095238095238
Zone_DH008,0.0963484620815757,0.3913398692810457,0.250814332247557,0.3871273071462375,0.4313725490196078,0.1333333333333333,0.6519320843091335,0.936768149882904,0.1049610496104961,0.8877458787070115,0.4754985217336604,0.086265934750093,0.086265934750093,0.3269876136432973,0.1605017990713507,0.2045516527430692,0.657372654155496,0.2594560758617015,0.0918809987362093,0.1660597232337946,0.0911290322580645,0.2627617504997884,0.1715055917817201,0.8863216872502141,0.9395467501665612,0.8692630948822035,0.6000000000000001,0.225688266812016,0.34685920495423705,0.33333333333333326
Zone_DH009,0.0673009033799807,0.3799019607843137,0.2842019543973941,0.4753115633380659,0.3333333333333333,0.2666666666666666,0.8062060889929744,0.9139344262295084,0.1299712997129971,0.817414884001205,0.6866704409637038,0.0624482761238791,0.0624482761238791,0.2510830435047897,0.0927753474969766,0.301412025312933,0.7554959785522787,0.2032923126098769,0.0620965262834306,0.2702112163146394,0.0661290322580645,0.2002363962701922,0.2703653783104441,0.8197323737661144,0.8297889253603279,0.7803995834539854,0.0,0.36391497063874867,0.6172931560493602,0.19047619047619044
Zone_DH010,0.0452323623658055,0.2851307189542484,0.2133550488599348,0.638468212651838,0.2745098039215686,0.1,0.7870316159250587,0.9862412177985947,0.03280032800328,0.7098954073946541,0.2357048499716927,0.0386154325065105,0.0386154325065105,0.1837207883336383,0.1140208124934681,0.1217391788324214,0.6241286863270775,0.1423605561770816,0.0358643303617173,0.1930080116533139,0.0411290322580645,0.1634899093814298,0.19278714800918,0.7315089501556001,0.8070223242693595,0.6601902853331022,0.5142857142857143,0.42051636722646735,0.6283582259459952,0.19047619047619044
Zone_DH011,0.0362981334974745,0.4035947712418301,0.3330618892508143,0.7548903612557185,0.2156862745098039,0.1333333333333333,0.9332552693208432,0.9840456674473068,0.031570315703157,0.6756337967546163,0.5791029754041643,0.0310760843981808,0.0310760843981808,0.3623772042223443,0.0688947281983905,0.1690923966583366,0.6050938337801607,0.1172730985740415,0.026898247771288,0.3015294974508375,0.0330645161290322,0.123681944870055,0.3060362099741358,0.7071108031533044,0.8405541600290946,0.5428405886646027,0.028571428571428574,0.39435605787920247,0.6293315422794955,0.14285714285714285
Zone_DH012,0.0420732480040552,0.4861111111111111,0.4006514657980456,0.779973181889888,0.1372549019607843,0.1,0.7300936768149884,0.7300936768149884,0.027880278802788,0.7565531786682734,0.3584953135811788,0.0455170109863411,0.0455170109863411,0.0979315394471902,0.1289620627360814,0.1716415002977664,0.5525469168900804,0.1489442935023884,0.0383065204768248,0.2927895120174799,0.0483870967741935,0.1542529440091056,0.3035736403045427,0.7665742099058667,0.8926284918956325,0.43834443024759573,0.5142857142857143,0.33219864866254617,0.5430706707344839,0.09523809523809519
Zone_DH013,0.06960913880189,0.5506535947712419,0.497557003257329,0.7335147499605617,0.1176470588235294,0.2,0.9227166276346604,0.9227166276346604,0.0889708897088971,0.8212025997503549,0.5161351198339309,0.0637465928676096,0.0637465928676096,0.1159924339496003,0.1472961674554711,0.2434727919363725,0.5825737265415548,0.1882469412036297,0.0548895037059808,0.4697742170429715,0.0677419354838709,0.1836653095769674,0.4844413682561655,0.8081331068506636,0.9120564216614067,0.5558373051022706,0.5142857142857143,0.25784166520974533,0.5212137425436,0.14285714285714285
