zone_id,node_id,lon,lat,bc,tier,degree,is_master,is_art_pt
Zone_DH555,4989868032,90.397611,23.9174521,0.01401376,4,3,0,0
Zone_DH555,4989868033,90.398983,23.9174888,0.0,4,1,0,0
Zone_DH555,4989868034,90.398413,23.9175023,0.06926446,3,3,0,0
Zone_DH555,4989868036,90.3972119,23.9175521,0.06758423,3,3,0,0
Zone_DH555,4989868037,90.3975547,23.9176274,0.01717759,4,4,0,0
Zone_DH555,4989868039,90.4023921,23.9176323,0.11522031,3,3,0,0
Zone_DH555,4989868041,90.3983484,23.9176858,0.06672625,3,3,0,0
Zone_DH555,4989868043,90.4009652,23.917785,0.19876665,2,3,0,0
Zone_DH555,4989868044,90.4017027,23.9177549,0.0,4,1,0,0
Zone_DH555,4989868047,90.3988609,23.9178468,0.0,4,3,0,0
Zone_DH555,4989868048,90.3982856,23.917864,0.06826347,3,4,0,0
Zone_DH555,4989868050,90.4024312,23.9179306,0.10742694,3,3,0,0
Zone_DH555,4989868051,90.4030184,23.9179326,0.06515328,3,3,0,1
Zone_DH555,4989868053,90.3978269,23.9180185,0.0,4,1,0,0
Zone_DH555,4989868054,90.3987939,23.9180319,0.00216284,4,3,0,0
Zone_DH555,4989868055,90.4010315,23.9180556,0.20577353,1,3,0,0
Zone_DH555,4989868056,90.3982144,23.9180488,0.07094468,3,4,0,0
Zone_DH555,13072945173,90.4037229,23.9209652,0.0,4,1,0,0
Zone_DH555,4989868061,90.3981796,23.9181391,0.05773528,4,3,0,1
Zone_DH555,4989868062,90.3987188,23.9182207,0.01474663,4,3,0,0
Zone_DH555,4989868064,90.398692,23.9183078,0.01404951,4,3,0,0
Zone_DH555,4989868069,90.398094,23.9184018,0.11983198,3,3,0,0
Zone_DH555,4989868070,90.4019803,23.9185726,0.0,4,1,0,0
Zone_DH555,4991782959,90.397732,23.9180449,0.0635803,4,3,0,0
Zone_DH555,4989868080,90.4020313,23.9190213,0.01192242,4,3,0,1
Zone_DH555,4989812785,90.3952234,23.9161425,0.0,4,1,0,0
Zone_DH555,4989866034,90.3965787,23.9148507,0.01871481,4,3,0,0
Zone_DH555,4989868081,90.401747,23.919036,0.02949325,4,4,0,1
Zone_DH555,4989866036,90.3968558,23.9163851,0.04600947,4,3,0,0
Zone_DH555,4989812789,90.3951126,23.9164728,0.0,4,1,0,0
Zone_DH555,4989866037,90.4002691,23.9158608,0.17828224,2,4,0,0
Zone_DH555,4989866039,90.3996415,23.915824,0.16918402,2,3,0,0
Zone_DH555,4989866040,90.3987768,23.9155784,0.04011082,4,3,0,0
Zone_DH555,4989866041,90.4005561,23.9159294,0.05013853,4,3,0,0
Zone_DH555,4989866042,90.3961789,23.915954,0.01601573,4,3,0,0
Zone_DH555,4989866043,90.3999539,23.9159858,0.0,4,1,0,0
Zone_DH555,4989868084,90.4012094,23.9190932,0.17561891,2,3,0,0
Zone_DH555,4989866045,90.4002414,23.9160186,0.01249441,4,3,0,0
Zone_DH555,4989866046,90.400239,23.9160327,0.01560461,4,3,0,1
Zone_DH555,4989866047,90.397784,23.9160541,0.03038699,4,4,0,0
Zone_DH555,4989866048,90.4005323,23.9160678,0.00532666,4,3,0,0
Zone_DH555,4989868088,90.4033563,23.9194234,0.0,4,1,0,0
Zone_DH555,4989868094,90.4016342,23.9197416,0.0948074,3,4,0,0
Zone_DH555,4989866051,90.3985916,23.9161048,0.02000626,4,4,0,0
Zone_DH555,3815841860,90.4011904,23.9106731,0.05857539,4,3,0,0
Zone_DH555,4989866052,90.399059,23.9170571,0.18300116,2,3,0,0
Zone_DH555,4989866054,90.3961077,23.9161523,0.0562338,4,3,0,0
Zone_DH555,4989868096,90.4013179,23.9197569,0.17649477,2,3,0,0
Zone_DH555,4989868102,90.399292,23.9199181,0.10730181,3,3,0,0
Zone_DH555,4989868099,90.4016585,23.9198598,0.02044865,4,3,0,0
Zone_DH555,4989866058,90.3995972,23.9161955,0.09695236,3,3,0,0
Zone_DH555,4989866059,90.4002087,23.9162053,0.01338815,4,3,0,0
Zone_DH555,4989866060,90.397727,23.9162296,0.02153901,4,3,0,0
Zone_DH555,4989868108,90.4024336,23.9202153,0.0,4,1,0,0
Zone_DH555,6057361480,90.3914094,23.9304972,0.00597015,4,2,0,1
Zone_DH555,4989866064,90.3993127,23.9163197,0.0568192,4,3,0,0
Zone_DH555,4989866065,90.39853,23.916284,0.02088212,4,4,0,0
Zone_DH555,4989866066,90.3976737,23.9164065,0.03081598,4,4,0,0
Zone_DH555,4989868113,90.4020367,23.9203968,0.00790062,4,3,0,1
Zone_DH555,4989866068,90.395168,23.9162909,0.0,4,1,0,0
Zone_DH555,4989866069,90.4019938,23.9164566,0.07632496,3,3,0,0
Zone_DH555,4989866070,90.398468,23.916464,0.03097685,4,4,0,0
Zone_DH555,4989866071,90.3992514,23.9165061,0.06391545,3,3,0,0
Zone_DH555,4989866072,90.3971884,23.9164878,0.08624542,3,3,0,0
Zone_DH555,4989866073,90.3963755,23.916485,0.00597015,4,3,0,1
Zone_DH555,4989866074,90.4014546,23.9165044,0.0,4,1,0,0
Zone_DH555,3815841882,90.3984423,23.9140375,0.02890339,4,3,0,1
Zone_DH555,3815841883,90.3985594,23.9141545,0.03056573,4,3,0,0
Zone_DH555,4989868117,90.4015512,23.9205144,0.03759049,4,3,0,0
Zone_DH555,4989868124,90.4020876,23.9207179,0.0,4,1,0,0
Zone_DH555,4989866080,90.401813,23.9166104,0.0459201,4,3,0,0
Zone_DH555,4989866079,90.3976072,23.9166163,0.10474573,3,3,0,0
Zone_DH555,3815841890,90.3995151,23.9144645,0.07058718,3,4,0,1
Zone_DH555,4989866082,90.3984052,23.9166328,0.03510591,4,4,0,0
Zone_DH555,4989866083,90.3963151,23.9166388,0.01590848,4,4,0,1
Zone_DH555,4989866085,90.4016638,23.9166969,0.04625972,4,4,0,1
Zone_DH555,4989866086,90.3970909,23.9167099,0.04486549,4,4,0,0
Zone_DH555,4989866081,90.3991948,23.916668,0.06997498,3,3,0,0
Zone_DH555,4989868127,90.4019991,23.9208503,0.0061489,4,3,0,0
Zone_DH555,4989868137,90.4029363,23.9210592,0.05961212,4,4,0,1
Zone_DH555,4989868130,90.4014734,23.920925,0.15525963,3,3,0,0
Zone_DH555,4989868139,90.4024095,23.9211519,0.03192421,4,3,0,1
Zone_DH555,4989866092,90.4015169,23.9168172,0.08150862,3,3,0,1
Zone_DH555,4989866093,90.3983297,23.916836,0.11740102,3,3,0,0
Zone_DH555,4989866094,90.3962398,23.9168084,0.01494325,4,3,0,1
Zone_DH555,4989868143,90.4014911,23.9211968,0.14423094,3,3,0,0
Zone_DH555,4989866096,90.3991301,23.9168533,0.06388417,3,3,0,0
Zone_DH555,4989868140,90.4021196,23.9211655,0.03732237,4,3,0,1
Zone_DH555,4989868141,90.4019322,23.9211743,0.04259541,4,3,0,0
Zone_DH555,4989866099,90.3970283,23.9168545,0.03898472,4,4,0,0
Zone_DH555,4989866100,90.402034,23.9169114,0.00597015,4,3,0,1
Zone_DH555,4989866101,90.3986373,23.916929,0.17661989,2,3,0,0
Zone_DH555,4989868145,90.4008294,23.9212515,0.01841094,4,2,0,0
Zone_DH555,4989868146,90.4057649,23.9212684,0.0,4,1,0,0
Zone_DH555,4989866106,90.4020662,23.916974,0.0,4,1,0,0
Zone_DH555,4989866107,90.3969257,23.9170561,0.02409509,4,3,0,0
Zone_DH555,4989868155,90.4020233,23.9218948,0.03026186,4,3,0,0
Zone_DH555,4989868157,90.401742,23.9219267,0.01160068,4,3,0,0
Zone_DH555,4989868158,90.4015574,23.9219483,0.13177228,3,3,0,0
Zone_DH555,4989866111,90.3977478,23.9170762,0.01807132,4,3,0,0
Zone_DH555,4989866113,90.396878,23.917086,0.03885959,4,3,0,0
