zone_id,node_id,lon,lat,bc,tier,degree,is_master,is_art_pt
Zone_DH143,5097594890,90.3007024,23.6696966,0.04761905,4,3,0,1
Zone_DH143,6052144270,90.2924237,23.6849111,0.09291521,4,2,0,1
Zone_DH143,5102477201,90.2911779,23.6734072,0.0,4,1,0,0
Zone_DH143,5097594902,90.296934,23.6736737,0.54239257,1,3,1,1
Zone_DH143,6052443031,90.3018439,23.6710503,0.11382114,4,3,0,0
Zone_DH143,5100051990,90.2942142,23.6804683,0.12659698,4,3,0,1
Zone_DH143,5100051991,90.2933154,23.6805463,0.05923345,4,3,0,1
Zone_DH143,5102499994,90.302401,23.66895,0.03019744,4,2,0,0
Zone_DH143,5100052000,90.2956803,23.6833662,0.19163763,4,3,0,0
Zone_DH143,5100080417,90.295721,23.6810765,0.0,4,1,0,0
Zone_DH143,5097638819,90.2927671,23.6747521,0.0,4,1,0,0
Zone_DH143,5100052003,90.2931213,23.6822137,0.0232288,4,3,0,0
Zone_DH143,5068128041,90.295676,23.6855774,0.37166086,3,3,0,1
Zone_DH143,2447912618,90.3023405,23.6672241,0.01509872,4,2,0,0
Zone_DH143,5102434478,90.2863929,23.6737646,0.0,4,1,0,0
Zone_DH143,5063687089,90.2988276,23.6782624,0.0,4,1,0,0
Zone_DH143,2447912761,90.3027026,23.6814611,0.0,4,1,0,0
Zone_DH143,7345344954,90.2986396,23.6839512,0.09407666,4,3,0,1
Zone_DH143,5100162489,90.296199,23.6801342,0.52845528,2,3,0,1
Zone_DH143,5099806397,90.2940279,23.673717,0.44018583,3,4,0,1
Zone_DH143,6710509887,90.2922249,23.6713412,0.42044135,3,3,0,1
Zone_DH143,6639105349,90.2866518,23.6689946,0.0,4,1,0,0
Zone_DH143,5068116429,90.2970577,23.6848919,0.3960511,3,2,0,1
Zone_DH143,5100162509,90.298267,23.6841159,0.51219512,2,3,0,1
Zone_DH143,7344833740,90.2873906,23.6716361,0.0,4,1,0,0
Zone_DH143,6639105357,90.2847045,23.6693118,0.18002323,4,3,0,1
Zone_DH143,6639105359,90.2845453,23.672071,0.0,4,1,0,0
Zone_DH143,6639105362,90.2838704,23.6715758,0.09407666,4,3,0,1
Zone_DH143,5100716627,90.2882809,23.6710491,0.04761905,4,3,0,1
Zone_DH143,6639105361,90.2827768,23.670172,0.0,4,1,0,0
Zone_DH143,5100162517,90.2987377,23.6839292,0.0,4,1,0,0
Zone_DH143,5102477910,90.2900277,23.6724685,0.04761905,4,3,0,1
Zone_DH143,5100162519,90.2979532,23.6806918,0.51219512,2,3,0,1
Zone_DH143,5102477913,90.2891218,23.6705362,0.17653891,4,3,0,1
Zone_DH143,6639105371,90.2829658,23.6668026,0.21486643,3,2,0,1
Zone_DH143,5100046568,90.2861208,23.6793939,0.0,4,1,0,0
Zone_DH143,6052134888,90.2916133,23.6745235,0.0,4,1,0,0
Zone_DH143,2447912687,90.2905538,23.6702657,0.43089431,3,3,0,1
Zone_DH143,6710551024,90.2925048,23.6847074,0.1358885,4,3,0,1
Zone_DH143,5100046575,90.2898065,23.684355,0.04761905,4,2,0,1
Zone_DH143,6713165554,90.3015756,23.6693303,0.0,4,1,0,0
Zone_DH143,5065447029,90.2956867,23.6792646,0.0,4,1,0,0
Zone_DH143,5065447038,90.2952549,23.674875,0.43321719,3,3,0,1
